year,state,oficina,species,genus,reef_group,is_reef,nombre_principal,landings_t,value_mxn,value_const,folios
2000,BAJA CALIFORNIA,ENSENADA,ABULON S.C. FCO.,HALIOTIS,,FALSE,ABULON,7.311,3594270,3222667.45313991,17
2000,BAJA CALIFORNIA,ENSENADA,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,0.99,486090,436389.109370607,3
2000,BAJA CALIFORNIA,ENSENADA,ABULON NEGRO S.C. FCO.,HALIOTIS,,FALSE,ABULON,0.05,16500,22039.8540086165,1
2000,BAJA CALIFORNIA,ISLA CEDROS,ABULON AZUL ENT. FCO.,HALIOTIS,,FALSE,ABULON,115.683,20298955,50992728.6255757,30
2000,BAJA CALIFORNIA,ISLA CEDROS,ABULON AMARILLO ENT. FCO.,HALIOTIS,,FALSE,ABULON,46.998,7746568,20716581.1739392,26
2000,BAJA CALIFORNIA SUR,BAHIA TORTUGAS,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,45.997,13702492,20275343.2966867,178
2000,BAJA CALIFORNIA SUR,BAHIA TORTUGAS,ABULON AZUL CONCHA DE,HALIOTIS,,FALSE,ABULON,29.136,382651,12843063.727901,178
2000,BAJA CALIFORNIA SUR,BAHIA TORTUGAS,ABULON AMARILLO S.C. FCO.,HALIOTIS,,FALSE,ABULON,15.449,1853880,6809874.09158233,150
2000,BAJA CALIFORNIA SUR,BAHIA TORTUGAS,ABULON AMARILLO CONCHA DE,HALIOTIS,,FALSE,ABULON,16.94,186340,7467102.53811928,149
2000,BAJA CALIFORNIA SUR,BAHIA TORTUGAS,ABULON AZUL ENT. FCO.,HALIOTIS,,FALSE,ABULON,0.3,75000,132239.124051699,1
2000,BAJA CALIFORNIA SUR,CD. CONSTITUCION,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,0.567,73710,249931.944457711,4
2000,BAJA CALIFORNIA SUR,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,1.763,271200,777125.252343819,11
2000,BAJA CALIFORNIA SUR,PTO. ADOLFO LOPEZ MATEOS,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,0.944,283200,416112.44368268,8
2000,BAJA CALIFORNIA SUR,PUNTA ABREOJOS,ABULON AMARILLO CONCHA DE,HALIOTIS,,FALSE,ABULON,16.659,41502,7343238.55859085,76
2000,BAJA CALIFORNIA SUR,PUNTA ABREOJOS,ABULON AMARILLO S.C. FCO.,HALIOTIS,,FALSE,ABULON,15.5,2850000,6832354.74267112,76
2000,BAJA CALIFORNIA SUR,PUNTA ABREOJOS,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,19.399,3504800,8551022.55826304,81
2000,BAJA CALIFORNIA SUR,PUNTA ABREOJOS,ABULON AZUL CONCHA DE,HALIOTIS,,FALSE,ABULON,14.823,152383,6533935.11939446,81
