year,trips,reef_trips,landings_t
2000,34760,6204,114461.604
2001,32617,7099,118541.102
2002,32713,6838,143953.549
2003,37759,8987,140410.17869
2004,42507,9669,145461.387
2005,41436,9601,139756.73844
2006,37186,8202,142210.16116
2007,39717,9365,135130.96077
2008,55037,13003,176015.329
2009,56968,14298,147228.779
2010,57139,14511,176314.62
2011,56833,14429,168536.932
2012,53131,14790,161163.18401
2013,56294,16582,150132.6463
2014,59622,16484,167672.81796
2015,60072,18897,141622.67856
2016,68164,22700,149386.67761
2017,73680,24758,195293.81538
2018,75555,24032,234736.46973
2019,77408,24159,220939.51607
2020,75252,21070,163632.23655
2021,86637,22761,255717.81887
2022,90138,23336,224482.879
2023,89702,22787,176038.428
2024,87369,22912,226703.97206
2025,89022,22556,237720.147490001
