year,office,species,genus,reef_group,is_reef,nombre_principal,landings_kg,value_mxn,value_const,records,folios,boat_days,landings_t
2000,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,1763,271200,777125.252343819,11,11,11,1.763
2001,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,3391,528200,1494742.89886437,12,12,12,3.391
2001,LA PAZ,ABULON CONCHA DE,HALIOTIS,,FALSE,ABULON,1000,5000,440797.080172331,1,1,1,1
2002,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,368,73600,162213.325503418,3,3,3,0.368
2003,LA PAZ,ABULON AZUL CONCHA DE,HALIOTIS,,FALSE,ABULON,278,72280,122541.588287908,1,1,1,0.278
2003,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,564,112800,248609.553217194,2,2,2,0.564
2004,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,530,106000,233622.452491335,6,6,6,0.53
2005,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,928,190100,409059.690399923,8,8,8,0.928
2005,SANTA ROSALIA,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,967,389500,426250.776526644,10,10,10,0.967
2005,SANTA ROSALIA,ABULON AMARILLO S.C. FCO.,HALIOTIS,,FALSE,ABULON,236,106200,104028.11092067,4,4,4,0.236
2006,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,1195,471550,526752.510805935,8,8,105,1.195
2006,LORETO,ABULON CONCHA DE,HALIOTIS,,FALSE,ABULON,1,1,440.797080172331,1,1,18,0.001
2007,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,495,173250,218194.554685304,6,6,72,0.495
2008,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,400,160000,176318.832068932,5,5,63,0.4
2009,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,646,258400,284754.913791326,7,7,117,0.646
2010,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,301,120400,132679.921131872,4,4,45,0.301
2011,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,323,129200,142377.456895663,4,4,60,0.323
2012,LA PAZ,ABULON AZUL S.C. FCO.,HALIOTIS,,FALSE,ABULON,555,213120,244642.379495643,4,4,38,0.555
