year,landings_t,reef_t,records,folios,reef_folios,boat_days,n_species,n_offices
2000,27840.366,2254.158,15887,6365,1222,15887,211,3
2001,40928.992,2421.04,13312,5209,1275,13312,205,3
2002,43278.381,2971.892,13805,5564,1358,13805,197,3
2003,39162.143,2986.457,15406,5101,1732,15406,213,3
2004,42523.068,2617.039,15255,5270,1746,15255,215,3
2005,30292.001,2977.042,15893,4549,1955,15893,211,3
2006,33292.395,2625.009,13950,4560,1659,455419,179,3
2007,32917.8582,2878.585,15748,4839,1859,446397,206,3
2008,44112.407,3196.507,18216,6026,2280,291296,179,3
2009,24072.99,3236.027,17280,5736,2458,266807,195,3
2010,25542.384,2838.672,16818,5012,2444,263133,242,3
2011,15274.601,3128.822,15064,4584,2269,222469,207,3
2012,14532.871,3532.312,15595,4000,2485,208338,196,3
2013,17243.762,3168.171,16809,4375,2497,221448,198,3
2014,23010.5094,2621.07478,15204,4365,2273,218034,225,3
2015,9664.02696,3498.47138,18158,4632,2863,302810,195,3
2016,9762.24734,3873.95519,17250,4726,2864,291489,225,3
2017,12274.19716,4473.58544,17494,5183,3272,300450,195,3
2018,10799.81772,4577.32609,18782,5341,3668,312175,194,3
2019,11060.95734,3725.1514,16570,5214,3385,1854000352537,289,3
2021,15051.983,3989.42,22226,7201,4303,3693788,325,3
2022,13004.422,3747.672,21882,6869,4158,459038,330,3
2023,13985.232,3763.008,22088,7024,4358,3047091,326,3
2024,15476.88464,3340.68694,22141,7188,4128,259414,353,3
2025,43920.74435,3149.65671,21182,8716,3884,245686,368,3
