year,fleet,landings_t,value_mxn
2001,MAYORES,599967.809,2426944838
2001,MENORES,152829.678,1573416767
2002,MAYORES,4746.688,91577057
2002,MENORES,179771.314,1640656818
2003,MAYORES,669678.966,2564064228
2003,MENORES,180020.88269,1799219054.11
2004,MAYORES,596111.693,2288013006
2004,MENORES,191605.251,2018315821
2005,MAYORES,647617.95,3775150692
2005,MENORES,187336.88454,2298315115.88
2006,MAYORES,711463.48,4036950613
2006,MENORES,187598.54818,2281065729.484
2007,MAYORES,721686.949,6899038779
2007,MENORES,183067.49097,2313415060.388
2008,MAYORES,880789.355,3260510824
2008,MENORES,223799.908,2914847891
2009,MAYORES,926335.501,3147400482
2009,MENORES,190502.367,2944138696
2010,MAYORES,717332.659,3684871512
2010,MENORES,215578.18,3066893302
2011,MAYORES,842128.9051,3478241213.5
2011,MENORES,205747.83,3611061649
2012,MAYORES,860008.329,3116812168
2012,MENORES,197194.21501,3487952872.2
2013,MAYORES,875897.736,3414571017
2013,MENORES,186138.7853,3989501383
2014,MAYORES,656012.19124,3626349144.8
2014,MENORES,214508.62229,4526098161.24
2015,MAYORES,503615.41463,3632710085.65
2015,MENORES,189836.95275,10092165015.725
2016,MAYORES,494115.0918,3753689049.25
2016,MENORES,204813.21059,14517092328.7238
2017,MAYORES,799531.64765,4264146335.09
2017,MENORES,272667.37741,7169241293.965
2018,MAYORES,884583.70188,7213875930.6
2018,MENORES,310330.20985,7829017231.3576
2019,MAYORES,886849.44512,4786588046.5
2019,MENORES,282684.03777,8016192361.0356
2020,MAYORES,938467.82935,4860188487.29
2020,MENORES,209149.65235,6946524507.7538
2021,MAYORES,1112425.466,5082495290
2021,MENORES,294562.24207,8197364388.23
2022,MAYORES,1067827.722,5238259622.77001
2022,MENORES,263554.8626,9025429851.3
2023,MAYORES,1183626.84,5655884096
2023,MENORES,219549.648,8568961938
2024,MAYORES,1150318.11437,7019104577.699
2024,MENORES,259454.72299,7652392124.4375
2025,MAYORES,1065981.49323,12242125596.8315
2025,MENORES,269222.465210001,8566355946.83851
