Year,group,idx,idx_lo,idx_hi
1998,Standing biomass,94.031507632956,83.0413516618472,106.476162186423
1999,Standing biomass,63.2903310779266,54.693538581135,73.2383771807225
2000,Standing biomass,100.869028088389,85.8686833471086,118.489773348072
2001,Standing biomass,135.102203209186,120.526873324006,151.440129562712
2002,Standing biomass,125.690194872442,110.754869443206,142.639553154577
2003,Standing biomass,90.3849514666977,78.7779822655987,103.702065179763
2004,Standing biomass,108.535406393155,96.2167016051231,122.431285259315
2005,Standing biomass,58.0549687467792,47.5985455615459,70.8084534186353
2006,Standing biomass,107.426667376617,95.3752301165201,121.000901906578
2007,Standing biomass,74.4383554801342,63.128090731082,87.7750095467184
2008,Standing biomass,109.20971031525,97.3988797626549,122.45275157378
2009,Standing biomass,120.508234454285,105.861735174085,137.181149991615
2010,Standing biomass,93.4777217366554,81.579118077582,107.111778933006
2011,Standing biomass,32.7656266946521,28.0136467943381,38.323689185311
2012,Standing biomass,31.1163225956648,26.2734616034414,36.851844895484
2013,Standing biomass,49.8609685789432,42.3558387144524,58.6959499111999
2014,Standing biomass,31.5641876498328,26.5336570126593,37.5484593593155
2015,Standing biomass,53.259676836159,46.4704846824352,61.040748683309
2016,Standing biomass,84.7258941923742,74.2517950673042,96.6774896174643
2017,Standing biomass,53.1987676877474,46.7608836897999,60.5229982878245
2018,Standing biomass,88.7735160902081,78.3137486951897,100.630314476346
2019,Standing biomass,72.5851141135539,62.300099287847,84.5680641139107
2021,Standing biomass,86.8474918244794,66.8201571004244,112.877418484176
2022,Standing biomass,85.7995232475864,72.0227435015315,102.211576949392
2023,Standing biomass,48.6267180237511,42.0469686206989,56.2361041313539
2024,Standing biomass,66.0612598444182,47.9955886549335,90.9268992116665
2025,Standing biomass,31.9965846676564,16.0373648266564,63.8372601396977
1998,Biomass production,109.135173091847,97.0237455447144,122.758464321483
1999,Biomass production,74.4236234153719,64.7229584044664,85.57822230034
2000,Biomass production,93.7054487353133,82.2828651325147,106.713725981045
2001,Biomass production,111.777947188513,100.120397092039,124.792847816936
2002,Biomass production,115.301874982507,101.73355428976,130.679818151402
2003,Biomass production,98.7760983288073,86.7935855621817,112.41288786338
2004,Biomass production,103.208445448257,91.8152903631198,116.015351797271
2005,Biomass production,86.7206502674195,75.9148727043984,99.0645299780414
2006,Biomass production,96.1688243597181,86.1497669108631,107.353079530667
2007,Biomass production,106.755322165049,94.4079330403996,120.717596959637
2008,Biomass production,108.866493222568,97.7937289833719,121.192979036464
2009,Biomass production,111.029967365099,98.6260413049509,124.993901103441
2010,Biomass production,90.7979713638032,81.0458545036434,101.723544705317
2011,Biomass production,49.4215229941088,43.7523714773826,55.8252467827908
2012,Biomass production,53.2490344809073,46.8520236707972,60.5194706865179
2013,Biomass production,57.427409714043,49.5195679987516,66.5980645579886
2014,Biomass production,41.8494524595675,36.9482195877317,47.4008407091725
2015,Biomass production,66.563746036506,58.6570456377861,75.5362333413917
2016,Biomass production,103.265416724052,90.6584474478976,117.625511922876
2017,Biomass production,65.9465127880221,57.8609478398969,75.1619652158901
2018,Biomass production,110.943390888347,97.924635927529,125.692946062251
2019,Biomass production,100.901559559777,87.4347264026886,116.442575398535
2021,Biomass production,107.631307028563,83.7134259497957,138.382799667335
2022,Biomass production,105.441658192546,89.5557202981639,124.145540289086
2023,Biomass production,58.2851643100723,51.1656131873716,66.3953809409362
2024,Biomass production,113.89168520206,86.8231464503431,149.399284505127
2025,Biomass production,60.0654778774172,38.2826265117705,94.2427926551281
