quantity,value
corr_warm_winter_reef_years,0.28
sd_within_year_winter_C,0.164
sd_within_year_warm_C,0.162
winter_range_C_lo,-1.38
winter_range_C_hi,1.86
b2_winter,0.0305
b2_winter_se,0.022
b2_winter_p,0.166
b2_winter_lo,-0.0127
b2_winter_hi,0.0737
b2_winter_wild_p,0.199
b2_winter_joint,0.0362
b2_winter_joint_p,0.15
b2_warm_joint,-0.0364
b2_warm_joint_p,0.583
b2_winter_nov_apr,0.0368
b2_winter_nov_apr_p,0.151
phi_winter_Q1,0.192
phi_winter_Q2,0.315
phi_winter_Q3,0.155
phi_winter_Q4,0.111
phi_warm_Q1,0.255
phi_warm_Q2,0.136
phi_warm_Q3,0.138
phi_warm_Q4,0.243
winter_warmhalf_slope_shift,0.076
winter_warmhalf_p,0.108
levels_lP_per_C_winter,0.205
levels_lB_per_C_winter,0.246
identification,"levels implausible -> identification NOT clean, interaction reported with that caveat"
dPhi_winter_CI_across_range_lo,-0.238
dPhi_winter_CI_across_range_hi,0.041
winter_erosion_supported,FALSE
