Year,B,landings_t,trips,trips_all,ws_anom,cpue,l_cpue,cpue_all,l_cpue_all
2000,0.310152179379052,2254.158,1222,6365,0.00574444444444448,1.8446464811784,0.612287650015718,0.354148939512961,-1.03803772124425
2001,0.595403203919423,2421.04,1275,5209,-0.351755555555555,1.89885490196079,0.641251021307351,0.464780188135919,-0.766190698845315
2002,0.532272115597213,2971.892,1358,5564,-0.159755555555555,2.18843298969072,0.78318575789318,0.534128684399712,-0.627118487031513
2003,0.191458297554348,2986.457,1732,5101,-0.296088888888889,1.72428233256351,0.544810924821431,0.5854650068614,-0.535348863979115
2004,0.433525990697453,2617.039,1746,5270,0.365911111111111,1.49887686139748,0.40471606857974,0.496591840607211,-0.69998683655612
2005,-0.227111661958633,2977.042,1955,4549,-0.0517555555555559,1.52278363171356,0.420539996659371,0.654438777753353,-0.423977238491167
2006,0.375168299070563,2625.009,1659,4560,0.618577777777778,1.58228390596745,0.45886931340083,0.575659868421052,-0.552238298917158
2007,0.00494597631696871,2878.585,1859,4839,-0.859255555555556,1.54845884884346,0.437260145227156,0.594871874354205,-0.519409233844718
2008,0.387430001690935,3196.507,2280,6026,-0.283088888888889,1.40197675438596,0.337883208151095,0.530452538997677,-0.634024789590665
2009,0.521092643956264,3236.027,2458,5736,0.120911111111111,1.31652847843775,0.274998331651711,0.564160913528592,-0.572415760501765
2010,0.250691601707359,2838.672,2444,5012,-0.734255555555556,1.16148608837971,0.149700295868355,0.566375099760575,-0.568498699856118
2011,-0.777749087440904,3128.822,2269,4584,0.190577777777778,1.37894314676069,0.321317370086499,0.682552792321117,-0.381915403528235
2012,-0.830189890777758,3532.312,2485,4000,0.0714111111111103,1.42145352112676,0.351679954512634,0.883078,-0.124341747058665
2013,-0.185315245349476,3168.171,2497,4375,-0.0462555555555563,1.26879094913897,0.23806443847055,0.724153371428572,-0.322752070041391
2014,-0.802299492118041,2621.07478,2273,4365,0.946077777777777,1.15313452705675,0.142483910158861,0.600475321878579,-0.510033734262299
2015,-0.326423672674443,3498.47138,2863,4632,1.22707777777778,1.2219599650716,0.200456098405525,0.75528311312608,-0.280662615749191
2016,0.12056880202097,3873.95519,2864,4726,0.745411111111111,1.3526379853352,0.302056748963546,0.819711212441811,-0.198803180702771
2017,-0.330051216983329,4473.58544,3272,5183,0.258411111111111,1.36723271393643,0.312788780222004,0.863126652517847,-0.147193840245065
2018,0.178344015203293,4577.32609,3668,5341,0.260411111111112,1.24790787622683,0.221468450096678,0.85701668039693,-0.154297896866737
2019,-0.0291346418580199,3725.1514,3385,5214,-0.208422222222223,1.10048785819793,0.0957535889366299,0.714451745301113,-0.336239820210442
2021,0.182810267016735,3989.42,4303,7201,0.750744444444444,0.927125261445503,-0.0756665969294962,0.554009165393695,-0.590574048339763
2022,0.149160738809027,3747.672,4158,6869,-0.0284222222222231,0.901316017316018,-0.103899342229609,0.545592080361042,-0.605883688025533
2023,-0.414406358004553,3763.008,4358,7024,0.237744444444444,0.863471317117944,-0.146794598950061,0.53573576309795,-0.624114218760448
2024,-0.0695480026141452,3340.68694,4128,7188,0.388744444444444,0.809274937015504,-0.21161657167928,0.464758895381191,-0.766236512421331
2025,-0.158184052184339,3149.65671,3884,8716,0.637577777777778,0.81093118177137,-0.209572084482773,0.361364927719137,-1.01786695113607
