quantity,value
receipts_jump_2008_pct_reef_trips,23
receipts_jump_2008_pct_all_trips,25
receipts_jump_2008_pct_5state_reef_trips,39
receipts_jump_2008_pct_5state_all_trips,39
landings_change_2008_pct_5state,30
receipts_2009_2011_vs_2007_pct_5state,43
cpue_break_year,2015
cpue_ci_lo,2014
cpue_ci_hi,2016
cpue_slope_pre,-1.57
cpue_p_pre,0.242
cpue_slope_post,-6.363
cpue_p_post,0
cpue_p_change,0.001
landings_break_year,2015
landings_ci_lo,2013
landings_ci_hi,2016
landings_slope_pre,0.034
landings_p_pre,0.984
landings_slope_post,-2.892
landings_p_post,0.013
landings_p_change,0.12
landings5_break_year,2016
landings5_ci_lo,2015
landings5_ci_hi,2017
landings5_slope_pre,5.579
landings5_p_pre,0.001
landings5_slope_post,-2.941
landings5_p_post,0.021
landings5_p_change,0
landings_4office_peak_year,2018
landings_4office_2025_pct_vs_peak,-31
survey_index_2009,0.52
survey_index_2011,-0.78
cpue_pct_of_base_2009,72
cpue_pct_of_base_2011,75
reef_trips_2000,1222
reef_trips_2021_2025_mean,4166
cpue_reef_2000_t_per_trip,1.84
cpue_reef_2021_2025_t_per_trip,0.86
cpue_reef_post2008_peak_year,2012
cpue_reef_post2008_peak_t_per_trip,1.42
cpue_reef_2021_2025_pct_vs_post2008_peak,-39
cpue_reef_2025_pct_vs_2019,-26
cpue_allreceipt_2025_pct_vs_2019,-49
corr_biomass_cpue,0.35
corr_biomass_cpue_p,0.0863
hyperstability_beta_post2008,-0.047
hyperstability_beta_lo,-0.315
hyperstability_beta_hi,0.22
p_proportionality_rejected,5.05e-07
p_beta_eq_0_post2008,0.711
hyperstability_beta_full,0.223
hyperstability_beta_allreceipt_post2008,-0.158
hyperstability_beta_allreceipt_lo,-0.476
hyperstability_beta_allreceipt_hi,0.16
era_interaction_p,0.367
