year,state,value_usd,value_mxn,landings_t
2022,BAJA CALIFORNIA,44661103.427299,898617129.84,20433.266
2023,BAJA CALIFORNIA,53145255.337386,942446071,21107.252
2024,BAJA CALIFORNIA,42388648.8038752,775975082.7335,20420.04457
2025,BAJA CALIFORNIA,43101541.78095,827773730.2115,21616.98286
2022,BAJA CALIFORNIA SUR,83221609.3221935,1674485356.85,37441.343
2023,BAJA CALIFORNIA SUR,89632917.3762505,1589496377,36361.78
2024,BAJA CALIFORNIA SUR,82887923.0300117,1517362896.572,37589.39117
2025,BAJA CALIFORNIA SUR,117406036.911159,2254806420.0862,69777.0936599999
2022,NAYARIT,21615956.0753051,434930329,14875.365
2023,NAYARIT,25860840.278796,458600625,14552.64
2024,NAYARIT,24598490.8561034,450304893.31,14002.941
2025,NAYARIT,19162431.9949805,368018338.95,10859.11983
2022,SINALOA,142645792.404874,2870147459.82,54016.696
2023,SINALOA,147852545.535543,2621928331,59568.2270000001
2024,SINALOA,121655060.865117,2227041875.209,64128.3064200001
2025,SINALOA,115639456.115969,2220878882.5984,58512.63868
2022,SONORA,83689230.6896344,1683894272.86,97716.2090000001
2023,SONORA,82326638.7156438,1459931215,44448.5290000001
2024,SONORA,68342090.3703663,1251083974.738,90563.2889
2025,SONORA,77425158.9164602,1486965662.0224,76954.3124599999
