reef_group,value_Myr,landings_t,warming_class,pct_per_decade,p_year
Pacific red snapper,2.06112228536579,569.7434325,decline_sig,-19.6598904050572,0.000948222826412968
Snappers,1.07737272560012,413.27202,decline_sig,-19.6598904050572,0.000948222826412968
Cabrillas,0.899519237393352,267.799485,decline_sig,-6.17555048336375,0.0342319478854509
Ocean whitefish,0.334604151054122,232.6234875,not_monitored,,
Triggerfishes,0.268313615965671,303.4508,no_sig_trend,-3.40035885367517,0.398097857866467
Groupers,0.225513439589031,65.177175,no_sig_trend,0.916425113937391,0.609988905695151
Parrotfishes,0.0544363839711659,24.875075,decline_sig,-22.6450953915165,5.5419102463567e-08
Grunts,0.0127437502639893,15.32475,increase_sig,11.0662636097874,0.0137654260460419
Wrasses,0.0105300211746949,8.92075,decline_sig,-23.3712555440741,4.11907595596293e-08
Porgies,0.00429884236401558,8.51075,no_sig_trend,0.48679761533752,0.321248161835461
Leopard grouper,0.000739373327583438,0.26625,decline_sig,-15.23634418639,6.91855048128841e-06
Chubs,0.000363554878398332,0.35175,no_sig_trend,-1.12182654716928,0.632820077302527
