quantity,value
reef_value_2000_MUSD_const,15
reef_value_peak_year,2019
reef_value_peak_MUSD_const,51
reef_value_2021_2025_MUSD_const,37
reef_value_pct_below_peak,-27.3
trips_2000,34760
trips_2025,89022
reef_cpue_peak_kg_per_trip,303
reef_cpue_2021_2025_kg_per_trip,207
reef_cpue_pct_below_peak,-31.7
mxn_per_usd_mean_2022_2025,18.84
five_state_artisanal_mean_MUSD_per_yr,372
five_state_artisanal_reef_pct,11
lapaz_loreto_reef_total_MUSD_per_yr,4.9
lapaz_loreto_reef_declining_pct,82.9
lapaz_loreto_reef_declining_MUSD_per_yr,4.1
pacific_red_snapper_MUSD_per_yr,2.1
leopard_grouper_MUSD_per_yr,0
