year,all_const_M,reef_const_M,reef_t,trips_all,trips,reef_kg_per_trip,reef_pct_of_all
2000,216.108662790909,14.9230769017822,8054.83900000001,34760,6204,1298.32994842038,6.90535803102937
2001,194.26215143694,14.3844165959083,7391.227,32617,7099,1041.16453021552,7.40464186642019
2002,221.246335666495,15.2175132698066,8366.478,32713,6838,1223.52705469435,6.87808601392854
2003,231.950909840554,17.633263877279,9731.276,37759,8987,1082.81695782797,7.60215335624264
2004,235.659456418884,17.5569470269899,9707.963,42507,9669,1004.02968249043,7.45013473840084
2005,251.478827101405,17.4329912947609,9304.68599999999,41436,9601,969.137173211123,6.93219047332809
2006,266.641170969184,15.6176124720611,8127.79110000001,37186,8202,990.952340892466,5.8571646738928
2007,242.798581888787,16.5871339899082,9606.35451,39717,9365,1025.77197116925,6.83164368624931
2008,301.501231101485,17.5880325802712,10380.886,55037,13003,798.345458740292,5.83348615725919
2009,267.03257214857,20.3240448047517,11876.83,56968,14298,830.663729192894,7.61107330136636
2010,285.820932229734,19.6629053439731,11114.579,57139,14511,765.941630487215,6.87944902795594
2011,339.131531617654,20.3112323973514,12246.311,56833,14429,848.729017949961,5.98919018248377
2012,298.935929845785,22.720719593343,13779.656,53131,14790,931.68735632184,7.60053152696104
2013,282.850020101323,23.2961578158929,13752.049,56294,16582,829.335966710891,8.23622278957157
2014,291.298255698688,23.4889459120109,12810.44009,59622,16484,777.143902572191,8.06353812715835
2015,267.461923443028,29.2480976880676,14519.22863,60072,18897,768.335112980897,10.9354248677935
2016,295.685561685773,41.1472366874845,18240.9484,68164,22700,803.566008810572,13.9158761939184
2017,371.181514765765,50.0808576860214,21901.33443,73680,24758,884.616464577106,13.4922822645479
2018,400.779822111984,49.997950010639,22178.90776,75555,24032,922.890635818907,12.4751664759881
2019,391.235554769864,50.7355616380395,23451.59581,77408,24159,970.718813278695,12.9680344793519
2020,333.015127865149,42.3764005382049,19049.2972,75252,21070,904.095738016136,12.7250677198559
2021,413.065514772065,37.0743385827527,17898.359,86637,22761,786.360836518606,8.97541364672159
2022,401.702497250682,36.3003606805721,18455.166,90138,23336,790.845303393898,9.03662808397205
2023,376.095739108069,35.6228545281606,17749.291,89702,22787,778.921797516126,9.47175169084393
2024,354.431163161889,37.2611207015066,18770.52919,87369,22912,819.24446534567,10.5129358178043
2025,391.923593044634,38.264265668946,18707.42776,89022,22556,829.377006561447,9.76319526254911
