Functional_group,n_obs,n_reefs,beta_year,p_year,beta_anom,p_anom
pisci-invertivores,3362,26,-0.0112376648333633,5.17533332735736e-05,-0.00803232962982079,0.851272094727528
grazers,3362,26,-0.0327377665920084,3.72843698086568e-31,-0.181016370971888,2.77020047358256e-05
planktivores,3362,26,-0.031838116424444,2.30428301431916e-27,0.0376701605224345,0.402443643473917
macro-invertivores,3362,26,-0.00330547373429418,0.288416228512738,-0.0327209135493286,0.496340403655185
micro-invertivores,3362,26,-0.0224168091654179,9.84324490162697e-20,-0.189736481603862,5.67047599720158e-07
corallivore,3362,26,-0.00850004301437482,3.55935013399257e-11,0.0431703001649802,0.0290246752596941
piscivores,3362,26,-0.0101637603245617,8.5781322368031e-05,-0.139438964896852,0.000485321756353666
browsers,3362,26,-0.0148423811409934,7.9416739311873e-14,-0.013530123064427,0.657984838302051
detritivores,3362,26,0.00134700585694582,0.545601439632638,-0.111165214000743,0.00125514211254257
spongivore,3362,26,-0.011613157974711,3.42016679063705e-22,0.00687546227862374,0.708511274167354
excavator/scraper,3362,26,-0.0229648837900233,7.28223536126667e-18,-0.0308707757200334,0.451230939642874
