year,mtl,landings_t,era
2000,3.54867792318726,2075.367,pre
2001,3.5562947380541,2224.801,pre
2002,3.50562881560942,2778.995,pre
2003,3.48170538467446,2793.731,pre
2004,3.48482123275268,2432.752,pre
2005,3.48835456220591,2795.028,pre
2006,3.51216326468965,2464.128,pre
2007,3.41067192437257,2691.464,pre
2008,3.42184639864043,3011.441,pre
2009,3.46541218722471,3019.442,pre
2010,3.47433143492775,2683.089,pre
2011,3.47776884200769,2887.625,pre
2012,3.45573080813647,3222.321,pre
2013,3.49691806163031,2918.28,pre
2014,3.5751599827891,2408.30278,post
2015,3.64181584005148,3246.73698,post
2016,3.6370609446038,3687.03669,post
2017,3.64977584848969,4270.04644,post
2018,3.65692723541481,4298.04009,post
2019,3.67871644925004,3496.8949,post
2021,3.61044605760127,3604.592,post
2022,3.59426488566,3416.789,post
2023,3.57402978933337,3437.618,post
2024,3.56081382766035,3130.34689,post
2025,3.58603307260781,2972.68911,post
