bloc,lag,n,beta,p,r2
Reef fish,0,23,0.223500752445475,0.153615404886484,0.27166748713906
Reef fish,1,23,0.381195765397296,0.012648049942894,0.412089646663856
Reef fish,2,23,0.245997813653753,0.108306655637609,0.291644574232587
Reef fish,3,23,0.246659081420145,0.137204299983841,0.278097656097174
Reef fish,4,23,-0.00207703633739442,0.989396525901989,0.191565022090265
Reef fish,5,23,-0.0733314713854094,0.675998668547386,0.198764240815811
Reef fish,6,23,-0.127358189914001,0.465465722909134,0.213336244380691
Reef fish,7,23,-0.264444484690639,0.0968492092795817,0.29807244570652
Reef fish,8,23,-0.351424715608271,0.0188391387854772,0.390596436241816
Sharks & rays,0,23,0.265037691917536,0.0754065807965168,0.887004623271932
Sharks & rays,1,23,0.412652510353476,0.0041786776472656,0.912719905225043
Sharks & rays,2,23,0.108198332479374,0.475997102484048,0.870548082031082
Sharks & rays,3,23,0.0722246218340141,0.660339316145073,0.868441430677638
Sharks & rays,4,23,-0.0653424276461883,0.664143643181043,0.868410521868792
Sharks & rays,5,23,-0.217863417388993,0.189517592980802,0.878353127979914
Sharks & rays,6,23,-0.112608063821399,0.504233673035957,0.870135976574764
Sharks & rays,7,23,-0.0595339801553947,0.707970445664628,0.868084864298207
Sharks & rays,8,23,0.0302135814796276,0.84516554590032,0.867392095618749
Large pelagics,0,23,-0.0491697915630307,0.678329697961422,0.364002111535786
Large pelagics,1,23,-0.0876314108372506,0.470114044228712,0.37530135073846
Large pelagics,2,23,-0.197939668353687,0.0784709950516496,0.452514997095147
Large pelagics,3,23,-0.16129555201676,0.191327831777073,0.412132669290069
Large pelagics,4,23,-0.134222757272832,0.236826058137968,0.402780717979929
Large pelagics,5,23,0.0134399672377259,0.917632845622234,0.35872072707454
Large pelagics,6,23,0.260330143937826,0.0338379754239931,0.490573270410186
Large pelagics,7,23,-0.0708545499098355,0.559416089335961,0.369478612738729
Large pelagics,8,23,0.0874214660147979,0.457585901620193,0.376263987389351
Small pelagics,0,23,0.358381859314219,0.394566680020571,0.185504141830756
Small pelagics,1,23,0.301108113272122,0.487880655219347,0.175269059885247
Small pelagics,2,23,0.464948276254222,0.258647913814504,0.208190906673089
Small pelagics,3,23,0.37195650576138,0.405513636736409,0.184129162607237
Small pelagics,4,23,-0.605172702636089,0.131514583973852,0.247689589684279
Small pelagics,5,23,-0.324400132530057,0.482441492662589,0.175782224584159
Small pelagics,6,23,0.0913890991217753,0.843898684238,0.156350720675324
Small pelagics,7,23,-0.50098533048163,0.242244945396975,0.211895442144778
Small pelagics,8,23,-0.52446427622822,0.206620962759169,0.221029184445138
Humboldt squid,0,23,-0.356056119537826,0.769017434131175,0.607692620748835
Humboldt squid,1,23,-2.16759117974931,0.0701417851745087,0.666916813475502
Humboldt squid,2,23,-2.32500752699678,0.0402257926093061,0.68238993843164
Humboldt squid,3,23,-2.36877981331988,0.0540672975562881,0.674188871308332
Humboldt squid,4,23,-0.815626693673506,0.486756747301425,0.615604675862501
Humboldt squid,5,23,0.00694480853147676,0.995826958379289,0.605954987205231
Humboldt squid,6,23,-0.33560806956117,0.800115595957183,0.607247354535311
Humboldt squid,7,23,-0.397887568199253,0.74906121154672,0.608015981535655
Humboldt squid,8,23,1.53203127398512,0.196157324234763,0.638294436584745
