Year,mean,sem,count,ci95
1998,0.348783042439469,0.0320100007794103,150,0.0627396015276441
1999,0.343277808307666,0.0369396428108579,147,0.0724016999092814
2000,0.618089482984489,0.103260130214223,131,0.202389855219877
2001,0.656100208145938,0.0573053211177708,128,0.112318429390831
2002,0.805009225426722,0.201067070546687,119,0.394091458271507
2003,0.46153335670485,0.0575998891552476,102,0.112895782744285
2004,0.504635776797886,0.038271798084863,122,0.0750127242463315
2005,0.33707500934788,0.0351116971741321,101,0.0688189264612988
2006,0.536124467053339,0.0428735105783847,113,0.084032080733634
2007,0.370069901904378,0.0325933603953274,123,0.0638829863748418
2008,0.504295095561874,0.0343235081982511,112,0.0672740760685721
2009,0.826116954366431,0.106544874781908,130,0.208827954572539
2010,0.582103008926076,0.0545246002279216,149,0.106868216446726
2011,0.212087023395419,0.0329192755472986,130,0.0645217800727053
2012,0.249876252059031,0.0449511349511554,136,0.0881042245042646
2013,1.04478815891586,0.238330621680055,145,0.467128018492908
2014,0.930898734591728,0.585365004367763,142,1.14731540856082
2015,0.311599506360468,0.0331751242231544,147,0.0650232434773826
2016,0.518574895999071,0.068959356157212,162,0.135160338068136
2017,0.276649678899612,0.0269018776198187,148,0.0527276801348446
2018,0.508910510274176,0.0581021371293305,157,0.113880188773488
2019,0.502168538967743,0.0550437417031199,149,0.107885733738115
2021,0.760522065727008,0.12254588752267,55,0.240189939544434
2022,0.59260990711465,0.0594406122515631,120,0.116503600013064
2023,0.39839916927053,0.0658009553566628,130,0.128969872499059
2024,0.377780398997018,0.0954093789036916,34,0.187002382651236
2025,0.374378310785183,0.0564013949697525,80,0.110546734140715
