Year,mean,sem,count,ci95
1998,0.00956899168415356,0.00113238921967809,150,0.00221948287056905
1999,0.028173762259789,0.00323740390184577,147,0.0063453116476177
2000,0.0343661194463031,0.00556413922631523,131,0.0109057128835779
2001,0.0589503859177456,0.0136583885965722,128,0.0267704416492815
2002,0.0616890687366672,0.00959364501710495,119,0.0188035442335257
2003,0.0308922184358371,0.00689638330958255,102,0.0135169112867818
2004,0.0438470971602511,0.00909587326865466,122,0.0178279116065631
2005,0.0148058823057107,0.00391238262524438,101,0.00766826994547898
2006,0.0330604670975925,0.00628826999197689,113,0.0123250091842747
2007,0.0150538128171108,0.00276132521055743,123,0.00541219741269256
2008,0.0343878776016313,0.00738035588094721,112,0.0144654975266565
2009,0.106308610808861,0.0373957146122234,130,0.0732956006399579
2010,0.0619032097575928,0.0193834118322571,149,0.037991487191224
2011,0.0187518587001017,0.00617626188951888,130,0.012105473303457
2012,0.0755389613795905,0.0403594863160857,136,0.079104593179528
2013,0.0455477717375968,0.0150563730407527,145,0.0295104911598754
2014,0.262984264098586,0.244656710781567,142,0.479527153131872
2015,0.0321694060587241,0.0115697259410412,147,0.0226766628444408
2016,0.0723297808889524,0.0245967018492489,162,0.0482095356245278
2017,0.0416326553287897,0.0122569511679092,148,0.024023624289102
2018,0.0562010457622893,0.0135153438525139,157,0.0264900739509272
2019,0.0496037556392094,0.0161466785967697,149,0.0316474900496687
2021,0.0800140643100008,0.0151520631917176,55,0.0296980438557665
2022,0.0644566018841366,0.0168359242610182,120,0.0329984115515958
2023,0.0932603801529635,0.0406114267719693,130,0.0795983964730599
2024,0.0500542721378561,0.0441682809678701,34,0.0865698306970253
2025,0.0604759979956023,0.0202198899546811,80,0.0396309843111749
