Year,mean,sem,count,ci95
1998,0.571844193313039,0.0659001439344903,150,0.129164282111601
1999,0.301392925766791,0.0193655589619943,147,0.0379564955655088
2000,0.432036666088587,0.0591179604769078,131,0.115871202534739
2001,0.579794670954347,0.0447156208185537,128,0.0876426168043653
2002,0.493393199208454,0.0481994815275638,119,0.0944709837940251
2003,0.402815702717787,0.0406127806090421,102,0.0796010499937226
2004,0.602941606916571,0.110511456386408,122,0.21660245451736
2005,0.285108048891163,0.0274721911249671,101,0.0538454946049355
2006,0.43381398192989,0.0367970539529304,113,0.0721222257477436
2007,0.474858135374571,0.0612849091029729,123,0.120118421841827
2008,0.414493874245213,0.0336913854005407,112,0.0660351153850597
2009,0.66502901938681,0.106748627659909,130,0.209227310213422
2010,0.439627748818862,0.0460285364214646,149,0.0902159313860706
2011,0.15763775859596,0.0128663508884566,130,0.025218047741375
2012,0.201519810511702,0.041156245999895,136,0.0806662421597942
2013,0.918338547451233,0.248677259001318,145,0.487407427642582
2014,0.179735989923351,0.0241904330817256,142,0.0474132488401822
2015,0.353052642767795,0.0976016611431996,147,0.191299255840671
2016,0.419704152020254,0.0376206703276032,162,0.0737365138421024
2017,0.3428359342563,0.0762565481034759,148,0.149462834282813
2018,0.421645686698418,0.0400309732840409,157,0.0784607076367202
2019,0.428175320415786,0.07631674889238,149,0.149580827829065
2021,0.426130439979546,0.0852905341441943,55,0.167169446922621
2022,0.372746754159895,0.0381830879913292,120,0.0748388524630052
2023,0.222898355725661,0.028097684469128,130,0.0550714615594908
2024,0.400619425972482,0.0851091905241029,34,0.166814013427242
2025,0.468139798188391,0.0602065882380579,80,0.118004912946593
