Year,mean,sem,count,ci95
1998,90,26.53773177439,46,52.0139542778044
1999,49.1666666666667,18.5127909822288,24,36.2850703251684
2000,5,1.11595346833193,128,2.18726879793058
2001,17.7207977207977,4.0295291420147,117,7.89787711834881
2002,9.29012345679012,2.79212319504737,108,5.47256146229285
2003,19.247311827957,5.42924727454483,93,10.6413246581079
2004,12.0560747663551,5.1280445938236,107,10.0509674038943
2005,62.4680365296804,9.89132179096109,146,19.3869907102837
2006,66.3692232055064,8.39784423586137,226,16.4597747022883
2007,81.3333333333333,17.6097509982673,120,34.515111956604
2008,63.8194444444445,9.70168831977513,96,19.0153091067592
2009,119.314773414102,11.7654727429535,603,23.0603265761889
2010,80.7236245268753,4.74042468101666,525,9.29123237479265
2011,122.416234773841,7.89381459723943,354,15.4718766105893
2012,123.207404283482,8.45482500925933,195,16.5714570181483
2013,159.923518664002,8.71220056491389,612,17.0759131072312
2014,99.9229057163527,7.35581112484227,366,14.4173898046909
2015,134.636464933668,9.37558555490112,389,18.3761476876062
2016,125.289475273646,7.35302079596578,655,14.4119207600929
2017,112.13164433605,5.96910854612199,553,11.6994527503991
2018,148.231484055259,7.28875036331933,583,14.2859507121059
2019,153.769597243204,7.31099514336276,484,14.329550480991
2021,170.331125827815,14.353153124934,151,28.1321801248706
2022,129.952830188679,11.1216437131757,212,21.7984216778244
2023,91.8110899787968,5.86236843207468,620,11.4902421268664
2024,98.7574404761905,15.1061298467349,112,29.6080144996004
2025,106.940684494333,8.33890483498263,233,16.344253476566
