Year,mean,sem,count,ci95
1998,250,61.4848475108295,46,120.510301121226
1999,258.75,75.6525057776329,24,148.278911324161
2000,58.671875,7.31941568872638,128,14.3460547499037
2001,89.1737891737892,14.4080628440176,117,28.2398031742744
2002,48.8888888888889,6.90332234435155,108,13.530511794929
2003,72.4731182795699,12.9705499109916,93,25.4222778255435
2004,71.4018691588785,10.5433450950061,107,20.664956386212
2005,67.9925799086758,8.01454615932147,146,15.7085104722701
2006,44.0949483775811,4.63030256619552,226,9.07539302974321
2007,81.9166666666667,11.5469152566918,120,22.631953903116
2008,111.25,12.849902912991,96,25.1858097094623
2009,167.712007567542,20.3998497685584,603,39.9837055463745
2010,258.28551436144,18.1570022616444,525,35.587724432823
2011,118.710963807601,14.0229150071879,354,27.4849134140884
2012,98.5778111677758,11.9301910819522,195,23.3831745206262
2013,194.30750758423,17.8446270872621,612,34.9754690910336
2014,91.9966619305212,7.62329796716549,366,14.9416640156444
2015,78.6736856500346,7.75037728869676,389,15.1907394858457
2016,64.1178228260021,5.2239014981234,655,10.2388469363219
2017,90.2430813737412,7.78927502012249,553,15.2669790394401
2018,143.382852313123,10.515370435017,583,20.6101260526333
2019,64.8855027548209,4.29006232383612,484,8.40852215471879
2021,166.335540838852,19.161596858794,151,37.5567298432362
2022,59.7012578616352,8.26356524564736,212,16.1965878814688
2023,63.6144622104299,4.23918156216058,620,8.30879586183473
2024,19.3601190476191,6.10795051804056,112,11.9715830153595
2025,47.7847474413998,4.18390656453747,233,8.20045686649345
