Year,mean,sem,count,ci95
1998,16.7391304347826,5.5521623748173,46,10.8822382546419
1999,28.3333333333333,8.59024275159911,24,16.8368757931343
2000,29.2708333333333,3.79834279650761,128,7.44475188115492
2001,38.005698005698,4.81083700771887,117,9.42924053512899
2002,151.327160493827,21.6223081619695,108,42.3797239974602
2003,138.781362007168,34.5582098633316,93,67.73409133213
2004,37.9127725856698,7.35652533644364,107,14.4187896594295
2005,43.7642694063927,5.57832372778507,146,10.9335145064587
2006,60.6425147492625,6.99721290257152,226,13.7145372890402
2007,37.6111111111111,4.69754081609202,120,9.20717999954036
2008,40.0347222222222,4.84644691892723,96,9.49903596109737
2009,98.6100734448096,13.3915389867168,603,26.2474164139649
2010,53.5415999949784,9.57211440816516,525,18.7613442400037
2011,79.7120120561095,8.99801293144205,354,17.6361053456264
2012,27.566872857402,4.33480574058225,195,8.4962192515412
2013,36.193717201105,2.62842328111274,612,5.15170963098097
2014,12.4682960695002,1.50719712642524,366,2.95410636779346
2015,8.0856787563772,0.873462272197782,389,1.71198605350765
2016,16.6034630250218,1.33973412971554,655,2.62587889424246
2017,29.8171462944851,3.48929621531761,553,6.83902058202251
2018,15.440873045467,1.02747896188152,583,2.01385876528779
2019,24.6686562595653,1.81981846494285,484,3.56684419128798
2021,37.0860927152318,6.26308233063917,151,12.2756413680528
2022,11.1320754716981,1.30665232587221,212,2.56103855870953
2023,21.2849828934506,2.02156718050274,620,3.96227167378537
2024,6.63690476190476,1.82363348722499,112,3.57432163496098
2025,20.2575107296137,2.55248498852078,233,5.00287057750073
