reef_group,n_obs,n_reefs,beta_year,p_year,beta_anom,p_anom
Wrasses,3109,22,-0.0211972725100762,5.64127151824731e-28,-0.210135142472733,4.47879455543191e-12
Leopard grouper,3109,22,-0.0127836598785625,4.81352385134807e-09,-0.145192183284274,2.50957914258119e-05
Grunts,3109,22,0.0139833122619621,1.30408640328001e-05,-0.135153757831347,0.0075911420994881
Parrotfishes,3109,22,-0.0248885959491292,5.55834525356198e-20,-0.0305377586899069,0.474186700071588
Chubs,3109,22,-0.000582335127733462,0.75041883939425,-0.0211522222287019,0.464574061640391
Snappers,3109,22,-0.0214947711290423,3.63995900917493e-14,-0.0153206519660689,0.731388375164685
Porgies,3109,22,0.000809569861498508,0.138163951907356,-0.0125539355899922,0.145566466059443
Groupers,3109,22,0.000205856167706586,0.870398193960516,0.0273744431115428,0.169710350766838
Cabrillas,3109,22,-0.00769469867588171,1.06498428530436e-06,0.0511618708037792,0.0397022830290821
Triggerfishes,3109,22,-0.00495573243500458,0.00597298751233375,0.0579818347659435,0.0416819896137039
