genus,nombre_cientifico,nombre_principal
ACANTHURUS,ACANTHURUS SPP,OTRAS
ACANTHURUS,ACANTHURUS XANTHOPTERUS,OTRAS
ALPHESTES,ALPHESTES IMMACULATUS,OTRAS
ANISOTREMUS,ANISOTREMUS INTERRUPTUS,OTRAS
ANISOTREMUS,ANISOTREMUS SURINAMENSIS,OTRAS
ANISOTREMUS,ANISOTREMUS DAVIDSONII,MOJARRA
AROTHRON,AROTHRON SETOSUS,OTRAS
BALISTES,BALISTES POLYLEPIS,OTRAS
BALISTES,BALISTES POLYLEPIS/SUFLAMEN VERRES,OTRAS
BODIANUS,BODIANUS SPP,OTRAS
CALAMUS,CALAMUS BRACHYSOMUS,MOJARRA
CALAMUS,CALAMUS BAJONADO,MOJARRA
CALAMUS,CALAMUS ARCTIFRONS,OTRAS
CAULOLATILUS,CAULOLATILUS PRINCEPS,PIERNA
CAULOLATILUS,CAULOLATILUS HUBBSI,PIERNA
CAULOLATILUS,CAULOLATILUS AFFINIS,OTRAS
CEPHALOPHOLIS,CEPHALOPHOLIS CRUENTATA,CABRILLA
DERMATOLEPIS,DERMATOLEPIS DERMATOLEPIS,CABRILLA
EPINEPHELUS,EPINEPHELUS ACANTHISTIUS,BAQUETA
EPINEPHELUS,EPINEPHELUS SPP,MERO
EPINEPHELUS,EPINEPHELUS NIPHOBLES,OTRAS
EPINEPHELUS,EPINEPHELUS ANALOGUS,CABRILLA
EPINEPHELUS,EPINEPHELUS DRUMMONDHAYI,MERO
EPINEPHELUS,EPINEPHELUS LABRIFORMIS,CABRILLA
EPINEPHELUS,EPINEPHELUS FLAVOLIMBATUS,MERO
EPINEPHELUS,EPINEPHELUS NIPHOBLES,BAQUETA
GIRELLA,GIRELLA SIMPLICIDENS,OTRAS
HAEMULON,HAEMULON MACROSTOMUM,OTRAS
HAEMULON,HAEMULON FLAVIGUTTATUM,RONCO
HAEMULON,HAEMULON SCUDDERI,MOJARRA
HAEMULON,HAEMULON BONARIENSIS,RONCO
HAEMULON,HAEMULON PLUMIERI,RUBIO
HAEMULON,HAEMULON PARRAI,OTRAS
HAEMULON,HAEMULON PLUMIERI,RONCO
HAEMULON,HAEMULON FLAVOLINEATUM,OTRAS
HOLACANTHUS,HOLACANTHUS CILIARIS,OTRAS
HOPLOPAGRUS,HOPLOPAGRUS GUENTHERI,PARGO
KYPHOSUS,KYPHOSUS ELEGANS,OTRAS
LUTJANUS,LUTJANUS VIRIDIS,MERO
LUTJANUS,LUTJANUS SPP,GUACHINANGO
LUTJANUS,LUTJANUSÂ SPP,PARGO
LUTJANUS,LUTJANUS SYNAGRIS,RUBIA Y VILLAJAIBA
LUTJANUS,LUTJANUS ANALIS,PARGO
LUTJANUS,LUTJANUS GRISEUS,PARGO
LUTJANUS,LUTJANUS PURPUREUS,PARGO
LUTJANUS,LUTJANUS ARGENTIVENTRIS,PARGO
LUTJANUS,LUTJANUS ARATUS,PARGO
LUTJANUS,LUTJANUS GUTTATUS,GUACHINANGO
LUTJANUS,LUTJANUS ANALIS,OTRAS
LUTJANUS,LUTJANUS JORDANI,PARGO
LUTJANUS,LUTJANUS VIRIDIS,LENGUADO
LUTJANUS,LUTJANUS SYNAGRIS,OTRAS
LUTJANUS,LUTJANUS INERMIS,RUBIA Y VILLAJAIBA
LUTJANUS,LUTJANUS CYANOPTERUS,RONCO
LUTJANUS,LUTJANUS CYANOPTERUS,OTRAS
LUTJANUS,LUTJANUS NOVEMFASCIATUS,OTRAS
LUTJANUS,LUTJANUS CYANOPTERUS,PARGO
LUTJANUS,LUTJANUS SYNAGRIS,PARGO
MICROLEPIDOTUS,MICROLEPIDOTUS INORNATUS,OTRAS
MICROLEPIDOTUS,MICROLEPIDOTUS BREVIPINNIS,OTRAS
MYCTEROPERCA,MYCTEROPERCA JORDANI,OTRAS
MYCTEROPERCA,MYCTEROPERCA INTERSTITIALIS,OTRAS
MYCTEROPERCA,MYCTEROPERCA BONACI,OTRAS
MYCTEROPERCA,MYCTEROPERCA BONACI,MERO
NICHOLSINA,NICHOLSINA USTA,OTRAS
PARALABRAX,PARALABRAX NEBULIFER,CABRILLA
PARALABRAX,PARALABRAX AUROGUTTATUS,OTRAS
PARALABRAX,PARALABRAX MACULATOFASCIATUS,CABRILLA
PARALABRAX,PARALABRAX AUROGUTTATUS,CABRILLA
PARANTHIAS,PARANTHIAS COLONUS,PAMPANO
PARANTHIAS,PARANTHIAS FURCIFER,OTRAS
POMACANTHUS,POMACANTHUS ARCUATUS/POMACANTHUS PARU,OTRAS
SCARUS,SCARUS PERRICO,OTRAS
SCARUS,SCARUS GUAMAIA,OTRAS
SCORPAENA,SCORPAENA MYSTES,OTRAS
SECTATOR,SECTATOR OCYURUS,OTRAS
SERRANUS,SERRANUS CABRILLA,CABRILLA
SPHOEROIDES,SPHOEROIDES SPP,OTRAS
SPHOEROIDES,SPHOEROIDES ANNULATUS,OTRAS
SPHOEROIDES,SPHOEROIDES ANNULATUS,BAGRE
