event_id,date_start,date_end,date_peak,duration_days,mean_sst,max_sst,mean_intensity,max_intensity,cumulative_intensity,mean_intensity_above_threshold,max_intensity_above_threshold
1,1982-12-10,1982-12-16,1982-12-14,7,23.072,23.288,1.839,2.095,12.87,0.497,0.75
2,1982-12-21,1982-12-30,1982-12-29,10,21.856,22.126,1.816,2.093,18.164,0.391,0.569
3,1983-01-04,1983-01-09,1983-01-06,6,21.076,21.239,1.736,1.871,10.415,0.308,0.471
4,1983-01-15,1983-02-01,1983-01-18,18,20.872,21.263,2.043,2.386,36.778,0.582,0.831
5,1983-02-09,1983-02-17,1983-02-16,9,20.57,20.884,1.873,2.182,16.861,0.178,0.487
6,1983-02-22,1983-03-01,1983-02-24,8,20.589,20.907,1.78,2.133,14.243,0.274,0.591
7,1983-03-06,1983-03-13,1983-03-08,8,20.441,20.555,1.271,1.431,10.171,0.112,0.247
8,1983-10-28,1983-11-23,1983-11-05,27,26.302,27.766,1.221,1.606,32.96,0.209,0.654
9,1984-01-07,1984-01-14,1984-01-13,8,21.049,21.131,1.908,2.043,15.262,0.36,0.447
10,1984-01-31,1984-02-06,1984-02-03,7,20.613,20.882,1.885,2.156,13.194,0.428,0.713
11,1984-08-02,1984-08-08,1984-08-04,7,30.643,30.739,1.214,1.324,8.495,0.162,0.27
12,1987-10-26,1987-11-11,1987-11-07,17,27.292,27.884,1.352,1.588,22.981,0.356,0.655
13,1989-04-08,1989-04-25,1989-04-22,18,22.283,23.194,1.393,1.977,25.081,0.26,0.719
14,1992-02-09,1992-03-07,1992-02-21,28,20.666,21.03,1.86,2.107,52.07,0.322,0.712
15,1992-03-14,1992-06-06,1992-04-28,85,23.35,26.474,1.655,2.58,140.633,0.523,1.59
16,1992-10-11,1992-10-27,1992-10-25,17,28.715,29.192,1.153,1.473,19.604,0.22,0.59
17,1995-03-08,1995-03-13,1995-03-10,6,20.424,20.5,1.227,1.317,7.36,0.083,0.155
18,1995-12-02,1995-12-10,1995-12-09,9,23.417,23.826,1.433,1.624,12.896,0.106,0.287
19,1996-02-07,1996-02-11,1996-02-10,5,20.578,20.654,1.884,1.963,9.421,0.223,0.285
20,1996-04-26,1996-05-15,1996-04-27,20,23.8,24.725,1.433,1.976,28.668,0.37,0.938
21,1997-07-30,1997-08-08,1997-08-01,10,30.565,30.726,1.206,1.439,12.064,0.155,0.389
22,1997-08-18,1997-08-29,1997-08-22,12,30.712,30.83,1.03,1.167,12.356,0.036,0.122
23,1997-10-01,1997-10-09,1997-10-07,9,29.696,30.026,1.051,1.283,9.455,0.263,0.519
24,1997-11-12,1998-02-13,1998-01-28,94,22.55,25.884,1.97,2.679,185.197,0.592,1.333
25,1998-02-17,1998-02-23,1998-02-20,7,20.565,20.664,1.858,1.968,13.008,0.226,0.34
26,1998-03-18,1998-03-28,1998-03-24,11,20.939,21.31,1.379,1.724,15.171,0.191,0.511
27,1998-07-17,1998-07-30,1998-07-27,14,29.922,30.326,1.271,1.445,17.795,0.295,0.433
28,1998-09-06,1998-09-20,1998-09-18,15,30.896,31.188,1.406,1.688,21.086,0.434,0.689
29,2000-06-21,2000-07-02,2000-06-26,12,27.979,28.537,1.276,1.459,15.313,0.104,0.341
30,2001-06-24,2001-07-13,2001-07-08,20,29.213,30.193,1.916,2.529,38.321,0.722,1.208
31,2001-11-06,2001-11-27,2001-11-26,22,25.486,26.52,1.2,1.437,26.391,0.158,0.425
32,2002-09-23,2002-09-30,2002-09-29,8,30.233,30.354,1.225,1.368,9.802,0.181,0.407
33,2002-10-10,2002-10-18,2002-10-17,9,29.035,29.141,1.042,1.274,9.376,0.143,0.321
34,2003-02-11,2003-02-19,2003-02-17,9,20.646,20.939,1.949,2.238,17.542,0.256,0.549
35,2003-08-29,2003-09-04,2003-09-02,7,31.026,31.22,1.285,1.48,8.997,0.448,0.653
36,2003-09-08,2003-09-21,2003-09-20,14,30.648,30.842,1.205,1.515,16.873,0.203,0.433
37,2004-03-18,2004-04-01,2004-03-31,15,20.916,21.331,1.286,1.492,19.291,0.138,0.486
38,2004-05-20,2004-05-25,2004-05-24,6,25.111,25.337,1.396,1.519,8.377,0.221,0.303
39,2004-08-08,2004-08-21,2004-08-15,14,30.846,31.048,1.302,1.522,18.232,0.304,0.521
40,2004-09-10,2004-09-16,2004-09-12,7,30.628,30.781,1.117,1.238,7.821,0.122,0.255
41,2005-09-17,2005-09-30,2005-09-22,14,30.553,31.031,1.439,1.892,20.147,0.386,0.76
42,2006-05-17,2006-05-21,2006-05-20,5,24.95,25.255,1.471,1.712,7.356,0.284,0.585
43,2006-05-30,2006-09-02,2006-07-23,96,29.438,31.465,1.656,2.492,158.948,0.569,1.555
44,2006-11-24,2006-12-02,2006-11-25,9,24.289,24.847,1.405,1.597,12.646,0.115,0.347
45,2008-09-23,2008-10-11,2008-09-30,19,30.133,30.876,1.375,1.959,26.13,0.476,1.118
46,2009-05-18,2009-05-27,2009-05-22,10,25.368,25.596,1.655,1.829,16.549,0.463,0.67
47,2009-06-01,2009-06-15,2009-06-08,15,26.729,27.264,1.801,2.365,27.02,0.542,1.075
48,2009-12-22,2010-01-03,2009-12-27,13,21.541,21.897,1.671,1.801,21.725,0.258,0.387
49,2010-01-08,2010-01-27,2010-01-13,20,20.628,20.996,1.683,1.935,33.667,0.156,0.338
50,2010-02-26,2010-03-06,2010-02-27,9,20.439,20.518,1.49,1.637,13.409,0.117,0.21
51,2010-04-09,2010-04-21,2010-04-20,13,22.134,22.843,1.338,1.758,17.396,0.223,0.462
52,2011-07-07,2011-07-11,2011-07-08,5,29.199,29.405,1.457,1.741,7.283,0.222,0.42
53,2012-09-16,2012-10-12,2012-09-21,27,30.376,31.243,1.505,2.061,40.643,0.567,0.966
54,2013-04-03,2013-04-08,2013-04-06,6,21.678,22.088,1.487,1.862,8.92,0.489,0.854
55,2013-06-14,2013-07-28,2013-07-15,45,29.04,31.243,1.662,3.064,74.796,0.556,2.179
56,2013-10-29,2013-11-03,2013-11-02,6,27.39,27.732,1.147,1.238,6.88,0.08,0.196
57,2014-03-05,2014-03-16,2014-03-14,12,20.797,21.157,1.6,1.866,19.199,0.44,0.742
58,2014-03-22,2014-03-26,2014-03-24,5,21.003,21.227,1.414,1.642,7.07,0.215,0.428
59,2014-04-10,2014-04-14,2014-04-12,5,21.985,22.219,1.358,1.569,6.79,0.359,0.56
60,2014-04-21,2014-05-07,2014-04-24,17,23.257,23.855,1.458,2.075,24.787,0.343,0.84
61,2014-05-20,2014-07-17,2014-06-15,59,28.251,30.48,2.361,3.285,139.271,1.173,2.063
62,2014-07-29,2014-08-04,2014-07-31,7,30.587,30.727,1.336,1.483,9.351,0.278,0.415
63,2014-08-27,2014-09-05,2014-09-03,10,30.818,30.984,1.08,1.25,10.796,0.233,0.457
64,2014-10-29,2014-11-26,2014-11-16,29,26.451,27.878,1.615,2.139,46.833,0.581,1.17
65,2015-02-09,2015-05-12,2015-04-05,93,22.221,24.284,2.12,3.167,197.2,0.888,2.106
66,2015-05-29,2015-08-01,2015-06-03,65,28.662,30.527,1.824,3.055,118.533,0.683,1.882
67,2015-08-07,2015-08-16,2015-08-14,10,30.893,31.356,1.387,1.845,13.869,0.409,0.939
68,2015-08-20,2016-01-11,2015-12-08,145,27.328,32.024,1.853,2.813,268.712,0.758,1.443
69,2016-01-15,2016-03-29,2016-03-05,75,21.061,22.317,2.075,3.053,155.639,0.666,1.809
70,2016-04-03,2016-05-05,2016-04-23,33,22.478,23.823,1.388,2.037,45.796,0.297,0.759
71,2016-05-11,2016-06-08,2016-05-14,29,25.532,26.647,1.629,2.548,47.249,0.434,1.446
72,2016-06-17,2016-06-22,2016-06-18,6,27.249,27.559,1.273,1.479,7.636,0.158,0.37
73,2016-07-01,2016-07-30,2016-07-22,30,29.909,31.011,1.772,2.482,53.15,0.705,1.521
74,2016-08-03,2016-08-08,2016-08-07,6,30.623,30.802,1.177,1.321,7.063,0.125,0.276
75,2016-10-09,2016-11-22,2016-10-31,45,27.776,29.466,1.578,2.166,71.025,0.61,1.065
76,2017-03-16,2017-03-23,2017-03-19,8,21.121,21.387,1.674,1.957,13.393,0.492,0.791
77,2017-07-04,2017-07-26,2017-07-07,23,29.867,30.117,1.755,2.332,40.362,0.699,1.015
78,2017-07-31,2017-08-18,2017-08-11,19,31.028,31.655,1.57,2.155,29.827,0.552,1.203
79,2017-10-31,2017-11-07,2017-11-03,8,26.996,27.408,1.126,1.305,9.008,0.11,0.268
80,2017-11-27,2017-12-06,2017-12-05,10,24.03,24.464,1.554,1.823,15.542,0.251,0.559
81,2018-06-08,2018-06-28,2018-06-13,21,27.515,28.475,1.675,2.343,35.181,0.47,1.036
82,2018-08-02,2018-08-07,2018-08-05,6,30.721,30.874,1.302,1.433,7.815,0.247,0.4
83,2018-09-05,2018-09-10,2018-09-07,6,30.824,31.145,1.182,1.49,7.091,0.316,0.665
84,2019-07-11,2019-07-20,2019-07-16,10,29.288,29.509,1.118,1.305,11.179,0.168,0.445
85,2019-07-25,2019-08-02,2019-07-28,9,30.398,30.696,1.361,1.561,12.25,0.327,0.538
86,2019-10-06,2019-10-11,2019-10-09,6,29.33,29.452,0.925,1.079,5.549,0.142,0.311
87,2020-04-03,2020-04-07,2020-04-05,5,21.226,21.369,1.069,1.147,5.347,0.056,0.135
88,2020-06-16,2020-06-26,2020-06-19,11,27.473,27.963,1.33,1.56,14.631,0.193,0.447
89,2020-07-03,2020-07-14,2020-07-09,12,29.422,29.808,1.724,2.066,20.684,0.542,0.824
90,2020-09-25,2020-10-27,2020-10-14,33,29.97,30.702,1.833,2.351,60.493,0.929,1.443
91,2021-04-07,2021-04-11,2021-04-07,5,21.47,21.605,1.034,1.09,5.168,0.096,0.13
92,2021-05-14,2021-06-22,2021-06-18,40,26.17,27.873,1.612,2.064,64.495,0.399,0.955
93,2021-07-11,2021-07-20,2021-07-16,10,29.232,29.444,1.062,1.239,10.618,0.112,0.38
94,2021-07-26,2021-08-31,2021-08-16,37,30.771,31.296,1.295,1.749,47.902,0.293,0.731
95,2021-09-04,2021-09-09,2021-09-09,6,30.73,30.893,1.063,1.293,5.313,0.228,0.358
96,2021-09-22,2021-09-26,2021-09-23,5,30.515,30.694,1.438,1.589,7.19,0.321,0.441
97,2021-10-02,2021-10-12,2021-10-08,11,29.988,30.182,1.48,1.732,16.275,0.683,0.98
98,2021-12-24,2022-01-02,2021-12-30,10,21.58,21.719,1.756,2.01,17.562,0.326,0.576
99,2022-06-18,2022-06-28,2022-06-23,11,27.745,28.117,1.386,1.721,15.241,0.241,0.537
100,2022-10-07,2022-10-15,2022-10-09,9,29.346,29.592,1.126,1.2,10.136,0.289,0.432
101,2023-07-12,2023-07-24,2023-07-15,13,29.834,30.137,1.522,1.972,19.783,0.577,1.073
102,2023-08-12,2023-08-19,2023-08-17,8,30.856,31.187,1.313,1.621,10.501,0.324,0.551
103,2023-09-24,2023-10-01,2023-09-27,8,30.38,30.581,1.4,1.581,11.202,0.394,0.527
104,2023-10-07,2023-10-11,2023-10-10,5,29.323,29.388,0.953,1.006,4.763,0.169,0.205
105,2023-10-17,2023-10-27,2023-10-21,11,28.43,28.855,1.126,1.402,12.384,0.172,0.458
106,2023-12-20,2024-01-06,2023-12-23,18,21.553,22.176,1.692,1.939,30.465,0.291,0.597
107,2024-01-19,2024-02-09,2024-02-06,22,20.506,20.769,1.736,1.981,38.188,0.264,0.416
108,2024-02-26,2024-03-25,2024-03-23,29,20.776,21.453,1.566,1.897,45.409,0.326,0.699
109,2024-03-29,2024-04-05,2024-03-30,8,20.993,21.255,1.041,1.171,7.287,0.01,0.12
110,2024-05-18,2024-06-15,2024-06-07,29,26.11,27.001,1.698,2.163,49.241,0.462,0.884
111,2024-07-30,2024-08-12,2024-08-02,14,30.678,30.814,1.279,1.419,17.909,0.25,0.365
112,2024-09-05,2024-09-12,2024-09-11,8,30.815,31.037,1.195,1.47,9.558,0.299,0.482
113,2024-09-27,2024-10-16,2024-10-04,20,29.716,30.192,1.21,1.409,24.197,0.352,0.621
114,2025-04-11,2025-04-18,2025-04-14,8,22.279,22.512,1.512,1.691,12.097,0.412,0.648
115,2025-06-15,2025-06-21,2025-06-19,7,27.344,27.803,1.535,1.786,10.743,0.391,0.673
116,2025-06-26,2025-07-23,2025-06-30,28,29.228,29.762,1.505,2.145,42.148,0.403,0.941
117,2025-09-09,2025-10-30,2025-10-22,52,29.768,30.852,1.343,1.87,69.817,0.39,0.911
