month,mhw_days,mhw_fraction,event_count,max_sst,mean_sst,max_intensity,mean_intensity,cumulative_intensity
1981-09,0,0.0,0,29.842,29.061,0.0,0.0,0.0
1981-10,0,0.0,0,28.089,26.486,0.0,0.0,0.0
1981-11,0,0.0,0,24.734,23.544,0.0,0.0,0.0
1981-12,0,0.0,0,21.315,20.337,0.0,0.0,0.0
1982-01,0,0.0,0,19.771,18.155,0.0,0.0,0.0
1982-02,0,0.0,0,18.473,17.693,0.0,0.0,0.0
1982-03,0,0.0,0,19.044,18.287,0.0,0.0,0.0
1982-04,0,0.0,0,20.527,19.342,0.0,0.0,0.0
1982-05,0,0.0,0,22.714,21.467,0.0,0.0,0.0
1982-06,0,0.0,0,25.027,23.203,0.0,0.0,0.0
1982-07,0,0.0,0,27.64,26.284,0.0,0.0,0.0
1982-08,0,0.0,0,29.014,28.472,0.0,0.0,0.0
1982-09,0,0.0,0,29.275,28.588,0.0,0.0,0.0
1982-10,0,0.0,0,27.884,26.825,0.0,0.0,0.0
1982-11,0,0.0,0,25.84,24.169,0.0,0.0,0.0
1982-12,17,0.5484,2,23.505,22.406,2.095,1.826,31.034
1983-01,23,0.7419,2,21.263,20.831,2.386,1.985,45.658
1983-02,17,0.6071,3,20.907,20.353,2.182,1.836,31.206
1983-03,9,0.2903,2,21.046,20.332,1.434,1.289,11.605
1983-04,0,0.0,0,21.979,20.952,0.0,0.0,0.0
1983-05,0,0.0,0,24.442,22.789,0.0,0.0,0.0
1983-06,0,0.0,0,27.213,25.586,0.0,0.0,0.0
1983-07,0,0.0,0,29.89,28.124,0.0,0.0,0.0
1983-08,0,0.0,0,30.273,29.944,0.0,0.0,0.0
1983-09,0,0.0,0,30.292,29.643,0.0,0.0,0.0
1983-10,4,0.129,1,29.765,28.025,1.441,1.189,4.755
1983-11,23,0.7667,1,27.522,25.457,1.606,1.226,28.205
1983-12,0,0.0,0,22.932,21.772,0.0,0.0,0.0
1984-01,9,0.2903,2,21.131,20.396,2.043,1.875,16.874
1984-02,6,0.2069,1,20.882,19.706,2.156,1.93,11.582
1984-03,0,0.0,0,20.987,20.196,0.0,0.0,0.0
1984-04,0,0.0,0,21.198,20.706,0.0,0.0,0.0
1984-05,0,0.0,0,24.321,22.912,0.0,0.0,0.0
1984-06,0,0.0,0,27.316,25.352,0.0,0.0,0.0
1984-07,0,0.0,0,29.576,27.975,0.0,0.0,0.0
1984-08,7,0.2258,1,30.739,30.21,1.324,1.214,8.495
1984-09,0,0.0,0,30.259,29.263,0.0,0.0,0.0
1984-10,0,0.0,0,28.655,27.22,0.0,0.0,0.0
1984-11,0,0.0,0,25.191,23.716,0.0,0.0,0.0
1984-12,0,0.0,0,21.255,20.248,0.0,0.0,0.0
1985-01,0,0.0,0,20.014,18.409,0.0,0.0,0.0
1985-02,0,0.0,0,18.045,17.657,0.0,0.0,0.0
1985-03,0,0.0,0,19.048,17.958,0.0,0.0,0.0
