Species,n_obs,n_reefs,beta_year,p_year,beta_anom,p_anom
Mycteroperca rosacea,3109,22,-0.0128743978956164,2.75610505970364e-09,-0.136511273795001,6.4195511404561e-05
Haemulon maculicauda,3109,22,0.00678328500425077,3.81222787566912e-06,-0.0758752744909491,0.00105671188103239
Haemulon sexfasciatum,3109,22,0.00639176737402406,0.0105075342829749,-0.0677369624833499,0.0859955258686772
Lutjanus argentiventris,3109,22,-0.0077855102805574,0.00112213632332231,-0.0511841486045713,0.174853612474742
Paranthias colonus,3109,22,-0.0108517577767769,2.96507119216728e-05,-0.021763461387673,0.595490918547704
Caranx caballus,3109,22,0.00184557240864291,0.0997739258204294,-0.0211356126253804,0.232752828431877
Anisotremus interruptus,3109,22,0.0066463541747657,0.000431593192371002,-0.00298209211218384,0.920286608916046
Lutjanus viridis,3109,22,-0.0152096867015783,4.99514487659669e-18,0.00157891940810748,0.954377636016381
Lutjanus novemfasciatus,3109,22,-0.00555202020334914,1.39495861769611e-06,0.0120359722704852,0.507050131053478
Hoplopagrus guentherii,3109,22,-0.00351644364890644,0.000386671963500955,0.024847033230566,0.112132507671665
Epinephelus labriformis,3109,22,0.000347786956281935,0.782290786037919,0.0263414871477363,0.18528156086869
Cephalopholis panamensis,3109,22,-0.0108516515005993,8.58991275048837e-13,0.044457091742929,0.0626393342097744
