species,n,R2_full,pure_fishery,pure_climate,shared,unexplained
Cabrillas,24,0.0688268009046646,0.0414912709945831,0.0640773955309509,-0.0367418656208694,0.931173199095335
Groupers,24,0.207642822277728,0.087440068340383,0.140764885869448,-0.0205621319321025,0.792357177722272
Grunts,24,0.399611042995933,0.0277180512990257,0.38116344403751,-0.00927045234060259,0.600388957004067
Leopard grouper,15,0.0445864916738567,0.00144182681715702,0.0287345343980381,0.0144101304586616,0.955413508326143
Ocean whitefish,24,0.153108337033956,0.134489302305067,0.0609387816564851,-0.0423197469275959,0.846891662966044
Parrotfishes,24,0.371558824461129,0.309220297235789,0.0178475135462114,0.0444910136791289,0.628441175538871
Porgies,24,0.177534521352789,0.151440613838363,0.0200678842560034,0.00602602325842264,0.822465478647211
Snappers,24,0.311562125855304,0.230310120451947,0.0680088627423463,0.0132431426610105,0.688437874144696
Triggerfishes,24,0.196116922901509,0.182695785793921,0.0662426132511543,-0.0528214761435663,0.803883077098491
Wrasses,24,0.397722987130701,0.000938337215671714,0.381027464337867,0.0157571855771624,0.602277012869299
