file,read,kept,drop_litoral,drop_acuacultura,drop_sin_peso,sci_backfilled,sin_cientifico
2000.xlsx,422085,164043,255439,2603,0,0,0
2001.xlsx,421081,166857,250314,3910,0,0,0
2002.xlsx,348691,137783,207393,3515,0,0,0
2003.xlsx,442537,185144,253097,4296,0,0,0
2004.xlsx,451567,197861,247093,6613,0,0,0
2005.xlsx,428431,204553,219272,4606,0,0,0
2006.xlsx,415851,189531,203562,22758,0,0,0
2007.xlsx,432270,203321,200168,28781,0,0,0
2008.xlsx,445844,236247,204266,5319,12,0,0
2009.xlsx,457413,242163,209823,5402,25,0,0
2010.xlsx,470224,263907,200864,5364,89,0,0
2011.xlsx,467804,254199,207310,6252,43,0,0
2012.xlsx,469319,243773,219366,6162,18,0,0
2013.xlsx,487764,263279,217828,6642,15,0,0
2014.xlsx,486153,265482,213427,7240,4,0,0
2015.xlsx,527721,283425,233406,10880,10,0,0
2016.xlsx,612391,319374,282115,10892,10,0,0
2017.xlsx,630629,337045,280795,12779,10,0,0
AVISOS_ MAYORES_MENORES_COSECHA_2018.csv,621158,328496,279145,13507,10,328231,265
AVISOS_ MAYORES_MENORES_COSECHA_2019.csv,552725,296676,241078,14959,12,296187,489
AVISOS_ MAYORES_MENORES_COSECHA_2020.csv,489648,264040,208931,16442,235,263391,649
AVISOS_ MAYORES_MENORES_COSECHA_2021.csv,508492,274888,212914,20630,60,273810,1078
AVISOS_ MAYORES_MENORES_COSECHA_2022.csv,517493,276441,216014,25026,12,274312,2129
AVISOS_ MAYORES_MENORES_COSECHA_2023.csv,520434,268767,225793,25874,0,267011,1756
AVISOS_ MAYORES_MENORES_COSECHA_2024.csv,483775,244606,213541,25628,0,241187,3419
AVISOS_ MAYORES_MENORES_COSECHA_2025.csv,492599,243120,219316,30163,0,216780,26340
AVISOS_MAYORES_MENORES_COSECHA_2026.csv,197423,104553,82895,9975,0,83157,21396
