clave_especie,nombre_cientifico
0010520H,HALIOTIS SP
0010520S,HALIOTIS SP
0011023H,HALIOTIS SP
0011429H,HALIOTIS SP
0011437H,HALIOTIS SP
0011726B,HALIOTIS SP
0012823H,HALIOTIS SP
0020529H,HALIOTIS CORRUGATA
0021022H,HALIOTIS CORRUGATA
0021428H,HALIOTIS CORRUGATA
0030528H,HALIOTIS FULGENS
0031021H,HALIOTIS FULGENS
0031427H,HALIOTIS FULGENS
0041020H,HALIOTIS SORENSENI
0041426H,HALIOTIS SORENSENI
0051029H,HALIOTIS CRACHERODII
0051425H,HALIOTIS CRACHERODII
0061424H,HALIOTIS ASSIMILIS
0070524H,HALIOTIS RUFESCENS
0071027H,HALIOTIS RUFESCENS
0071423H,HALIOTIS RUFESCENS
0080523H,HALIOTS SORENSENI
0081026H,HALIOTS SORENSENI
0081422H,HALIOTS SORENSENI
0091025H,TURBINELLA ANGULATA
0091421H,TURBINELLA ANGULATA
0103226V,TURBO FLUCTUOSA
0111419D,CAMBARELLUS ZEMPOALENSIS
0111419H,CAMBARELLUS ZEMPOALENSIS
0121418H,CHERAX QUADRICARINATUS
0151423H,N/D
0151423S,N/D
0161414H,SPIRULINA MÃXIMA
0171421H,PHAEOPHYCEAE
0171421S,PHAEOPHYCEAE
0181420H,EUCHEUMA SPP
0181420S,EUCHEUMA SPP
0191429H,EUCHEUMA GELIDIUM
0191429S,EUCHEUMA GELIDIUM
0201426H,GIGARTINA ACICULARIS/GIGARTINA ELEGANS
0201426S,GIGARTINA ACICULARIS/GIGARTINA ELEGANS
0211425H,N/D
0221424H,SARGASSUM SPP
0221424S,SARGASSUM SPP
0231423H,EGREGIA MENZIESII
0231423S,EGREGIA MENZIESII
0240523H,N/D
0241026H,N/D
0241414H,N/D
0241422H,N/D
0241430H,N/D
0250522H,DOSINIA PONDEROSA
0251025H,DOSINIA PONDEROSA
0251421H,DOSINIA PONDEROSA
0260521H,RANGIA FLEXUOSA /SPONDYLUS CALCIFER
0260526H,RANGIA FLEXUOSA /SPONDYLUS CALCIFER
0261024H,RANGIA FLEXUOSA /SPONDYLUS CALCIFER
0261028H,RANGIA FLEXUOSA /SPONDYLUS CALCIFER
0261420H,RANGIA FLEXUOSA /SPONDYLUS CALCIFER
0261422H,RANGIA FLEXUOSA /SPONDYLUS CALCIFER
0280529H,ARGOPECTEN CIRCULARIS/ARGOPECTEN VENTRICOSUS
0281022H,ARGOPECTEN CIRCULARIS/ARGOPECTEN VENTRICOSUS
0281428H,ARGOPECTEN CIRCULARIS/ARGOPECTEN VENTRICOSUS
0290528H,MEGAPITARIA SQUALIDA
0291021H,MEGAPITARIA SQUALIDA
0291427H,MEGAPITARIA SQUALIDA
0301424H,PANOPEA GLOBOSA/PANOPEA GENEROSA
0310524H,RANGIA CUNEATA
0321422H,PINCTADA MAZATLANICA
