lat,lon,lonW,gulf,lat_degree
21.875,243.875,-116.125,FALSE,21
21.875,244.125,-115.875,FALSE,21
21.875,244.375,-115.625,FALSE,21
21.875,244.625,-115.375,FALSE,21
21.875,244.875,-115.125,FALSE,21
21.875,245.125,-114.875,FALSE,21
21.875,245.375,-114.625,FALSE,21
21.875,245.625,-114.375,FALSE,21
21.875,245.875,-114.125,FALSE,21
21.875,246.125,-113.875,FALSE,21
21.875,246.375,-113.625,FALSE,21
21.875,246.625,-113.375,FALSE,21
21.875,246.875,-113.125,FALSE,21
21.875,247.125,-112.875,FALSE,21
21.875,247.375,-112.625,FALSE,21
21.875,247.625,-112.375,FALSE,21
21.875,247.875,-112.125,FALSE,21
21.875,248.125,-111.875,FALSE,21
21.875,248.375,-111.625,FALSE,21
21.875,248.625,-111.375,FALSE,21
21.875,248.875,-111.125,FALSE,21
21.875,249.125,-110.875,FALSE,21
21.875,249.375,-110.625,FALSE,21
21.875,249.625,-110.375,FALSE,21
21.875,249.875,-110.125,FALSE,21
21.875,250.125,-109.875,FALSE,21
21.875,250.375,-109.625,FALSE,21
21.875,250.625,-109.375,FALSE,21
21.875,250.875,-109.125,FALSE,21
21.875,251.125,-108.875,FALSE,21
21.875,251.375,-108.625,FALSE,21
21.875,251.625,-108.375,TRUE,21
21.875,251.875,-108.125,TRUE,21
21.875,252.125,-107.875,TRUE,21
21.875,252.375,-107.625,TRUE,21
21.875,252.625,-107.375,TRUE,21
21.875,252.875,-107.125,TRUE,21
21.875,253.125,-106.875,TRUE,21
21.875,253.375,-106.625,TRUE,21
21.875,253.625,-106.375,TRUE,21
21.875,253.875,-106.125,TRUE,21
21.875,254.125,-105.875,TRUE,21
21.875,254.375,-105.625,FALSE,21
22.125,243.875,-116.125,FALSE,22
22.125,244.125,-115.875,FALSE,22
22.125,244.375,-115.625,FALSE,22
22.125,244.625,-115.375,FALSE,22
22.125,244.875,-115.125,FALSE,22
22.125,245.125,-114.875,FALSE,22
22.125,245.375,-114.625,FALSE,22
22.125,245.625,-114.375,FALSE,22
22.125,245.875,-114.125,FALSE,22
22.125,246.125,-113.875,FALSE,22
22.125,246.375,-113.625,FALSE,22
22.125,246.625,-113.375,FALSE,22
22.125,246.875,-113.125,FALSE,22
22.125,247.125,-112.875,FALSE,22
22.125,247.375,-112.625,FALSE,22
22.125,247.625,-112.375,FALSE,22
22.125,247.875,-112.125,FALSE,22
22.125,248.125,-111.875,FALSE,22
22.125,248.375,-111.625,FALSE,22
22.125,248.625,-111.375,FALSE,22
22.125,248.875,-111.125,FALSE,22
22.125,249.125,-110.875,FALSE,22
22.125,249.375,-110.625,FALSE,22
22.125,249.625,-110.375,FALSE,22
22.125,249.875,-110.125,FALSE,22
22.125,250.125,-109.875,FALSE,22
22.125,250.375,-109.625,FALSE,22
22.125,250.625,-109.375,FALSE,22
22.125,250.875,-109.125,FALSE,22
22.125,251.125,-108.875,TRUE,22
22.125,251.375,-108.625,TRUE,22
22.125,251.625,-108.375,TRUE,22
22.125,251.875,-108.125,TRUE,22
22.125,252.125,-107.875,TRUE,22
22.125,252.375,-107.625,TRUE,22
22.125,252.625,-107.375,TRUE,22
22.125,252.875,-107.125,TRUE,22
22.125,253.125,-106.875,TRUE,22
22.125,253.375,-106.625,TRUE,22
22.125,253.625,-106.375,TRUE,22
22.125,253.875,-106.125,TRUE,22
22.125,254.125,-105.875,TRUE,22
22.125,254.375,-105.625,FALSE,22
22.375,243.875,-116.125,FALSE,22
22.375,244.125,-115.875,FALSE,22
22.375,244.375,-115.625,FALSE,22
22.375,244.625,-115.375,FALSE,22
22.375,244.875,-115.125,FALSE,22
22.375,245.125,-114.875,FALSE,22
22.375,245.375,-114.625,FALSE,22
22.375,245.625,-114.375,FALSE,22
22.375,245.875,-114.125,FALSE,22
22.375,246.125,-113.875,FALSE,22
22.375,246.375,-113.625,FALSE,22
22.375,246.625,-113.375,FALSE,22
22.375,246.875,-113.125,FALSE,22
22.375,247.125,-112.875,FALSE,22
22.375,247.375,-112.625,FALSE,22
22.375,247.625,-112.375,FALSE,22
22.375,247.875,-112.125,FALSE,22
22.375,248.125,-111.875,FALSE,22
22.375,248.375,-111.625,FALSE,22
22.375,248.625,-111.375,FALSE,22
22.375,248.875,-111.125,FALSE,22
22.375,249.125,-110.875,FALSE,22
22.375,249.375,-110.625,FALSE,22
22.375,249.625,-110.375,FALSE,22
22.375,249.875,-110.125,FALSE,22
22.375,250.125,-109.875,FALSE,22
22.375,250.375,-109.625,FALSE,22
22.375,250.625,-109.375,TRUE,22
22.375,250.875,-109.125,TRUE,22
22.375,251.125,-108.875,TRUE,22
22.375,251.375,-108.625,TRUE,22
22.375,251.625,-108.375,TRUE,22
22.375,251.875,-108.125,TRUE,22
22.375,252.125,-107.875,TRUE,22
22.375,252.375,-107.625,TRUE,22
22.375,252.625,-107.375,TRUE,22
22.375,252.875,-107.125,TRUE,22
22.375,253.125,-106.875,TRUE,22
22.375,253.375,-106.625,TRUE,22
22.375,253.625,-106.375,TRUE,22
22.375,253.875,-106.125,TRUE,22
22.375,254.125,-105.875,FALSE,22
22.375,254.375,-105.625,FALSE,22
22.625,243.875,-116.125,FALSE,22
22.625,244.125,-115.875,FALSE,22
22.625,244.375,-115.625,FALSE,22
22.625,244.625,-115.375,FALSE,22
22.625,244.875,-115.125,FALSE,22
22.625,245.125,-114.875,FALSE,22
22.625,245.375,-114.625,FALSE,22
22.625,245.625,-114.375,FALSE,22
22.625,245.875,-114.125,FALSE,22
22.625,246.125,-113.875,FALSE,22
22.625,246.375,-113.625,FALSE,22
22.625,246.625,-113.375,FALSE,22
22.625,246.875,-113.125,FALSE,22
22.625,247.125,-112.875,FALSE,22
22.625,247.375,-112.625,FALSE,22
22.625,247.625,-112.375,FALSE,22
22.625,247.875,-112.125,FALSE,22
