month,mhw_days,mhw_fraction,event_count,max_sst,mean_sst,max_intensity,mean_intensity,cumulative_intensity
1981-09,0,0,0,29.889,28.862,0,0,0
1981-10,0,0,0,28.422,27.089,0,0,0
1981-11,0,0,0,25.597,24.596,0,0,0
1981-12,0,0,0,22.618,21.767,0,0,0
1982-01,0,0,0,20.92,19.526,0,0,0
1982-02,0,0,0,19.413,18.762,0,0,0
1982-03,0,0,0,20.248,19.375,0,0,0
1982-04,0,0,0,21.631,20.316,0,0,0
1982-05,0,0,0,23.331,22.214,0,0,0
1982-06,0,0,0,25.493,23.746,0,0,0
1982-07,0,0,0,27.948,26.662,0,0,0
1982-08,0,0,0,29.45,28.751,0,0,0
1982-09,0,0,0,29.756,29.06,0,0,0
1982-10,0,0,0,28.021,27.353,0,0,0
1982-11,0,0,0,26.582,25.22,0,0,0
1982-12,15,0.4839,0,24.599,23.472,0.553,0.297,4.452
1983-01,28,0.9032,0,22.461,22.06,0.983,0.465,13.01
1983-02,23,0.8214,0,22.235,21.635,0.904,0.407,9.351
1983-03,7,0.2258,0,21.971,21.223,0.554,0.219,1.53
1983-04,0,0,0,22.848,21.815,0,0,0
1983-05,0,0,0,25.029,23.517,0,0,0
1983-06,0,0,0,27.704,26.1,0.226,0,0
1983-07,0,0,0,30.131,28.478,0.344,0,0
1983-08,0,0,0,30.079,29.77,0.188,0,0
1983-09,0,0,0,30.187,29.458,0,0,0
1983-10,4,0.129,0,30.05,28.423,0.46,0.222,0.889
1983-11,7,0.2333,0,28.142,26.184,0.416,0.192,1.343
1983-12,0,0,0,24.064,23.048,0.06,0,0
1984-01,7,0.2258,0,22.274,21.499,0.511,0.394,2.755
1984-02,6,0.2069,0,21.791,20.762,0.48,0.29,1.743
1984-03,0,0,0,21.743,21.051,0.448,0,0
1984-04,0,0,0,22.104,21.561,0,0,0
1984-05,0,0,0,24.481,23.274,0,0,0
1984-06,0,0,0,27.376,25.406,0,0,0
1984-07,0,0,0,29.371,27.65,0,0,0
1984-08,7,0.2258,0,30.618,30.048,0.591,0.414,2.898
1984-09,0,0,0,30.006,29.006,0,0,0
1984-10,0,0,0,28.666,27.585,0,0,0
1984-11,0,0,0,26.007,24.673,0,0,0
1984-12,0,0,0,22.318,21.327,0,0,0
1985-01,0,0,0,21.16,19.573,0,0,0
1985-02,0,0,0,19.006,18.66,0,0,0
1985-03,0,0,0,19.773,18.809,0,0,0
1985-04,0,0,0,21.277,20.553,0,0,0
1985-05,0,0,0,24.234,22.527,0,0,0
1985-06,0,0,0,26.431,24.862,0,0,0
1985-07,0,0,0,28.172,27.279,0,0,0
1985-08,0,0,0,29.971,28.732,0,0,0
1985-09,0,0,0,29.611,29.189,0,0,0
1985-10,0,0,0,29.346,28.052,0,0,0
1985-11,0,0,0,26.831,25.104,0,0,0
1985-12,0,0,0,22.845,21.398,0,0,0
1986-01,0,0,0,20.458,19.984,0,0,0
1986-02,0,0,0,21.202,20.051,0,0,0
1986-03,0,0,0,21.362,20.534,0.029,0,0
1986-04,0,0,0,22.657,21.339,0,0,0
1986-05,0,0,0,24.56,23.701,0.126,0,0
1986-06,0,0,0,26.51,24.434,0,0,0
1986-07,0,0,0,28.116,27.439,0,0,0
1986-08,0,0,0,29.665,28.754,0,0,0
1986-09,0,0,0,29.227,28.602,0,0,0
1986-10,0,0,0,27.985,27.141,0,0,0
1986-11,0,0,0,26.288,24.713,0,0,0
1986-12,0,0,0,23.807,21.901,0,0,0
1987-01,0,0,0,20.305,19.894,0,0,0
1987-02,0,0,0,19.94,19.573,0,0,0
1987-03,0,0,0,20.849,19.814,0,0,0
1987-04,0,0,0,22.623,21.25,0,0,0
1987-05,0,0,0,23.713,23.176,0,0,0
1987-06,0,0,0,26.574,25.097,0,0,0
1987-07,0,0,0,28.948,27.938,0,0,0
1987-08,0,0,0,30.162,29.304,0,0,0
1987-09,0,0,0,30.464,29.712,0.08,0,0
1987-10,4,0.129,0,29.481,28.729,0.477,0.294,1.176
1987-11,11,0.3667,0,28.199,26.113,0.609,0.444,4.887
1987-12,0,0,0,23.964,22.103,0,0,0
1988-01,0,0,0,20.075,19.255,0,0,0
1988-02,0,0,0,19.542,18.863,0,0,0
1988-03,0,0,0,20.72,19.343,0,0,0
1988-04,0,0,0,22.005,21.073,0,0,0
1988-05,0,0,0,23.612,22.393,0,0,0
1988-06,0,0,0,25.685,24.683,0,0,0
1988-07,0,0,0,28.697,27.142,0,0,0
1988-08,0,0,0,29.366,28.475,0,0,0
1988-09,0,0,0,29.445,28.586,0,0,0
1988-10,0,0,0,28.996,27.873,0,0,0
1988-11,0,0,0,26.262,24.274,0,0,0
1988-12,0,0,0,21.881,20.429,0,0,0
1989-01,0,0,0,18.628,18.012,0,0,0
1989-02,0,0,0,19.071,18.062,0,0,0
1989-03,0,0,0,20.187,19.333,0,0,0
1989-04,7,0.2333,0,23.16,22.042,0.347,0.174,1.219
1989-05,0,0,0,24.393,23.558,0,0,0
1989-06,0,0,0,26.144,25.28,0,0,0
1989-07,0,0,0,29.041,27.794,0,0,0
1989-08,0,0,0,29.383,28.612,0,0,0
1989-09,0,0,0,29.302,28.828,0,0,0
1989-10,0,0,0,28.497,27.651,0,0,0
1989-11,0,0,0,26.415,25.083,0,0,0
1989-12,0,0,0,22.925,21.954,0,0,0
1990-01,0,0,0,20.739,19.596,0,0,0
1990-02,0,0,0,19.378,18.363,0,0,0
1990-03,0,0,0,20.507,19.939,0,0,0
1990-04,0,0,0,22.948,21.738,0.185,0,0
1990-05,0,0,0,25.196,23.739,0,0,0
1990-06,12,0.4,0,27.418,26.654,0.502,0.255,3.057
1990-07,0,0,0,29.526,28.365,0,0,0
1990-08,0,0,0,30.111,29.477,0,0,0
1990-09,0,0,0,30.108,29.498,0,0,0
1990-10,0,0,0,28.888,28.096,0,0,0
1990-11,0,0,0,27.385,25.634,0,0,0
1990-12,0,0,0,24.275,21.956,0,0,0
1991-01,0,0,0,20.494,19.976,0,0,0
1991-02,0,0,0,20.929,20.014,0,0,0
1991-03,0,0,0,20.59,19.833,0,0,0
1991-04,0,0,0,21.569,20.455,0,0,0
1991-05,0,0,0,23.844,22.789,0,0,0
1991-06,0,0,0,26.424,25.213,0,0,0
1991-07,0,0,0,29.046,27.362,0,0,0
1991-08,0,0,0,29.55,28.892,0,0,0
1991-09,0,0,0,29.867,28.986,0,0,0
1991-10,0,0,0,29.451,28.269,0.017,0,0
1991-11,0,0,0,26.334,24.986,0,0,0
1991-12,0,0,0,23.11,22.053,0,0,0
1992-01,0,0,0,21.289,20.801,0,0,0
1992-02,14,0.4828,0,21.895,21.326,0.619,0.293,4.101
1992-03,20,0.6452,0,21.997,21.502,0.512,0.346,6.92
1992-04,24,0.8,0,24.523,22.753,1.125,0.402,9.659
1992-05,28,0.9032,0,25.974,25.25,1.234,0.777,21.751
1992-06,5,0.1667,0,27.577,26.479,0.382,0.247,1.235
1992-07,0,0,0,29.318,28.538,0.021,0,0
1992-08,0,0,0,30.19,29.488,0,0,0
1992-09,0,0,0,29.518,29.033,0,0,0
1992-10,13,0.4194,0,29.258,28.687,0.559,0.188,2.444
1992-11,0,0,0,27.192,25.746,0,0,0
1992-12,0,0,0,23.853,22.311,0,0,0
1993-01,0,0,0,20.853,20.331,0,0,0
1993-02,0,0,0,20.244,19.91,0,0,0
1993-03,0,0,0,21.621,20.716,0.103,0,0
1993-04,0,0,0,23.252,21.86,0.154,0,0
1993-05,0,0,0,25.287,23.633,0,0,0
1993-06,0,0,0,27.473,26.312,0,0,0
1993-07,0,0,0,28.814,27.677,0,0,0
1993-08,0,0,0,29.217,28.8,0,0,0
1993-09,0,0,0,29.386,28.623,0,0,0
1993-10,0,0,0,29.229,28.19,0.059,0,0
1993-11,0,0,0,26.954,25.223,0,0,0
1993-12,0,0,0,23.629,22.225,0,0,0
1994-01,0,0,0,21.025,20.366,0,0,0
1994-02,0,0,0,19.644,19.27,0,0,0
1994-03,0,0,0,20.675,19.973,0,0,0
1994-04,0,0,0,22.71,21.762,0,0,0
1994-05,0,0,0,24.527,23.315,0,0,0
1994-06,0,0,0,27.2,25.594,0,0,0
1994-07,0,0,0,29.19,28.151,0,0,0
1994-08,0,0,0,29.786,29.192,0,0,0
1994-09,0,0,0,29.669,29.161,0,0,0
1994-10,0,0,0,29.495,27.834,0,0,0
1994-11,0,0,0,26.812,25.217,0,0,0
1994-12,0,0,0,23.724,21.869,0,0,0
1995-01,0,0,0,20.781,20.368,0,0,0
1995-02,0,0,0,20.824,20.158,0,0,0
1995-03,0,0,0,21.184,20.82,0,0,0
1995-04,0,0,0,22.33,21.108,0,0,0
1995-05,0,0,0,24.208,22.888,0,0,0
1995-06,0,0,0,26.433,25.182,0,0,0
1995-07,0,0,0,29.054,27.815,0,0,0
1995-08,0,0,0,30.135,29.102,0,0,0
1995-09,0,0,0,29.662,29.296,0,0,0
1995-10,0,0,0,29.403,28.348,0,0,0
1995-11,0,0,0,26.8,25.677,0.051,0,0
1995-12,5,0.1613,0,24.705,22.934,0.335,0.213,1.066
1996-01,0,0,0,21.133,20.561,0,0,0
1996-02,0,0,0,21.338,20.848,0.028,0,0
1996-03,0,0,0,22.019,20.654,0.365,0,0
1996-04,5,0.1667,0,23.949,22.314,0.776,0.392,1.962
1996-05,15,0.4839,0,25.094,24.507,0.733,0.39,5.856
1996-06,0,0,0,25.82,25.262,0,0,0
1996-07,0,0,0,29.353,27.381,0,0,0
1996-08,0,0,0,29.848,28.994,0,0,0
1996-09,0,0,0,29.43,28.539,0,0,0
1996-10,0,0,0,28.966,27.763,0,0,0
1996-11,0,0,0,26.304,24.865,0,0,0
1996-12,0,0,0,23.795,22.097,0,0,0
1997-01,0,0,0,21.016,19.982,0,0,0
1997-02,0,0,0,19.537,18.978,0,0,0
1997-03,0,0,0,21.03,20.217,0,0,0
1997-04,0,0,0,22.219,21.054,0,0,0
1997-05,3,0.0968,0,25.918,24.062,0.347,0.162,0.487
1997-06,3,0.1,0,27.698,26.054,0.414,0.361,1.083
1997-07,3,0.0968,0,30.475,28.857,0.639,0.475,1.425
1997-08,28,0.9032,0,30.81,30.507,0.894,0.261,7.297
1997-09,6,0.2,0,30.551,30.099,0.362,0.181,1.089
1997-10,15,0.4839,0,30.243,28.984,0.627,0.359,5.382
1997-11,8,0.2667,0,26.973,26.062,0.387,0.178,1.422
1997-12,28,0.9032,0,25.4,23.904,0.856,0.441,12.351
1998-01,31,1,0,23.186,22.497,1.204,0.805,24.964
1998-02,23,0.8214,0,22.29,21.744,0.976,0.558,12.844
1998-03,13,0.4194,0,22.023,21.372,0.585,0.269,3.491
1998-04,0,0,0,23.227,21.982,0.202,0,0
1998-05,0,0,0,24.811,24.104,0,0,0
1998-06,11,0.3667,0,28.507,26.67,0.876,0.429,4.722
1998-07,13,0.4194,0,30.306,28.996,0.778,0.327,4.257
1998-08,3,0.0968,0,30.682,30.135,0.254,0.042,0.127
1998-09,13,0.4333,0,30.903,29.871,0.567,0.219,2.849
1998-10,0,0,0,29.363,28.244,0.115,0,0
1998-11,0,0,0,27.525,25.117,0,0,0
1998-12,0,0,0,23.931,21.548,0,0,0
1999-01,0,0,0,21.032,19.867,0,0,0
1999-02,0,0,0,19.786,19.2,0,0,0
1999-03,0,0,0,20.282,19.76,0,0,0
1999-04,0,0,0,21.752,20.356,0,0,0
1999-05,0,0,0,24.623,23.492,0,0,0
1999-06,0,0,0,27.249,25.977,0,0,0
1999-07,0,0,0,30.025,28.016,0.336,0,0
1999-08,0,0,0,29.892,28.983,0,0,0
1999-09,0,0,0,30.082,29.016,0,0,0
1999-10,0,0,0,28.72,27.713,0,0,0
1999-11,0,0,0,26.059,24.798,0,0,0
1999-12,0,0,0,23.34,21.825,0,0,0
2000-01,0,0,0,19.937,19.401,0,0,0
2000-02,0,0,0,20.149,19.574,0,0,0
2000-03,0,0,0,20.785,20.2,0,0,0
2000-04,0,0,0,22.431,21.703,0,0,0
2000-05,0,0,0,24.533,23.527,0,0,0
2000-06,0,0,0,27.734,26.442,0.187,0,0
2000-07,0,0,0,29.841,28.133,0.06,0,0
2000-08,5,0.1613,0,31.09,30.128,0.663,0.473,2.365
2000-09,0,0,0,30.448,29.032,0.06,0,0
2000-10,9,0.2903,0,29.328,28.609,0.492,0.283,2.545
2000-11,0,0,0,26.669,24.925,0,0,0
2000-12,0,0,0,22.509,21.813,0,0,0
2001-01,0,0,0,20.417,19.863,0,0,0
2001-02,0,0,0,19.388,19.114,0,0,0
2001-03,0,0,0,19.893,18.713,0,0,0
2001-04,0,0,0,22.658,20.525,0,0,0
2001-05,0,0,0,23.934,23.064,0,0,0
2001-06,6,0.2,0,28.508,25.699,0.507,0.315,1.888
2001-07,11,0.3548,0,29.819,28.684,1.285,0.897,9.869
2001-08,0,0,0,29.764,29.096,0,0,0
2001-09,0,0,0,30.072,29.314,0,0,0
2001-10,0,0,0,28.435,27.869,0,0,0
2001-11,16,0.5333,0,27.525,26.294,0.369,0.149,2.38
2001-12,0,0,0,24.739,22.71,0.106,0,0
2002-01,0,0,0,21.798,20.318,0,0,0
2002-02,0,0,0,20.329,19.285,0,0,0
