cell,Reef,lat,lon,dist_km,sst_mean_lt,sst_winter_lt,sst_summer_lt
21.875 253.375,SAN_JUANITO_20,21.708731,-106.675311,19.2041509183733,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,MARIA_MADRE_15,21.599441,-106.631441,30.6479842540454,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,SAN_JUANITO_17,21.773131,-106.670001,12.2428125078361,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,SAN_JUANITO_19,21.738611,-106.701741,17.1104581550801,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,SAN_JUANITO_18,21.741171,-106.701771,16.8600898178571,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,MARIA_MADRE_16,21.662981,-106.537341,25.2535566550892,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,MARIA_MADRE_14,21.539851,-106.531291,38.5037845810751,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,MARIA_MADRE_2,21.569751,-106.513011,35.859371941717,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,SAN_JUANITO_23,21.754321,-106.660101,13.8995268380844,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,SAN_JUANITO_25,21.738761,-106.703351,17.1733334951297,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,SAN_JUANITO_24,21.761481,-106.661421,13.170765268176,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,MARIA_MADRE_22,21.698651,-106.653311,19.8257993830071,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.375,MARIA_MADRE_21,21.698441,-106.663601,20.0329494492191,26.7108392079936,24.1440982404692,29.5062269322127
21.875 253.625,MARIA_MAGDALENA_8,21.458634,-106.355358,46.3422596980844,26.8490682277938,24.2574321847507,29.6587575369998
21.875 253.625,MARIA_MAGDALENA_4,21.421121,-106.415001,50.6380841895443,26.8490682277938,24.2574321847507,29.6587575369998
21.875 253.625,MARIA_MAGDALENA_5,21.434606,-106.446997,49.5316372822322,26.8490682277938,24.2574321847507,29.6587575369998
21.875 253.625,MARIA_MAGDALENA_3,21.421371,-106.384961,50.4517479670167,26.8490682277938,24.2574321847507,29.6587575369998
21.875 253.625,MARIA_MAGDALENA_6,21.450911,-106.484891,48.5046820030595,26.8490682277938,24.2574321847507,29.6587575369998
21.875 253.625,MARIA_MAGDALENA_7,21.465491,-106.498591,47.2924285408616,26.8490682277938,24.2574321847507,29.6587575369998
22.875 250.125,ANEGADA,22.8785545,-109.8988365,2.47379614443419,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,CHILENO,22.946031,-109.803661,10.7597301317243,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,SANTA_MARIA,22.927461,-109.815316,8.4500133297826,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,CABEZA_BALLENA_CSL,22.902206,-109.842622,4.48918386262161,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,GIORGIO,22.896039,-109.866002,2.51447806348808,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,GAVILANCITO_CSL,22.939631,-109.806361,10.0535659030251,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,ARCO_SAN_LUCAS,22.876139,-109.892835,1.83157245373501,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,DEDO_NEPTUNO,22.877203,-109.895233,2.08727850493064,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,PUNTA_OLMECA_CSL,22.897225,-109.874944,2.47131390310256,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,PARED NORTE,22.880031,-109.902316,2.85383989916948,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,CASA_ROJA_CSL,22.898756,-109.856611,3.24444568243058,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.125,BAJO_GOLFITO_SAN_LUCAS,22.875908,-109.890698,1.61142106735018,24.7743131245019,22.8669226539589,28.0215567330532
22.875 250.375,PALMILLA_ESCALONES,22.99705,-109.72245,16.8453820306425,25.1556881015141,22.9256763196481,28.4311109080943
22.875 250.375,PALMILLA_REGINA,22.98855,-109.732367,16.742571538021,25.1556881015141,22.9256763196481,28.4311109080943
23.125 250.375,PALMILLA_SAN_JOSE,23.005917,-109.711367,15.9187753108968,25.328508551462,22.7876026392962,28.6939210670565
23.375 250.625,LINEA,23.319897,-109.417391,7.50141761190788,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,BLEDITO,23.361148,-109.421591,4.99895125993979,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,GAVILANES_CABO_PULMO,23.452161,-109.424501,9.95629966064818,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,TACHUELAS,23.492131,-109.457481,15.5063488727877,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,BARRA_PRIMERA,23.434781,-109.424377,8.34121542835745,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,CASITAS,23.403539,-109.414811,5.15544506664783,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,LISAS,23.458291,-109.428915,10.7722106909379,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,PEDREGALITO,23.40024,-109.41598,5.03677776167473,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,PIEDRAS_BOLAS,23.355254,-109.422322,5.30606184339887,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,ISLOTE_CABO_PULMO,23.4079945,-109.413335,5.36344408511662,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,LOBERA_CABO_PULMO,23.384551,-109.412618,3.98366378529797,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,POTANCO,23.381516,-109.420505,4.7007067226863,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,CANTIL_MEDIO,23.434309,-109.414791,7.74467290243366,25.4649445227733,22.4246444281525,29.0108404896766
23.375 250.625,MORROS_CABO_PULMO,23.461938,-109.407203,10.2102360913975,25.4649445227733,22.4246444281525,29.0108404896766
