cell,Reef,dist_km,year,sst_annual,anom_annual,anom_warm,mhw_days,mhw_cum
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1981,27.7333606557377,-0.471262295081969,-0.646218579234988,0,0
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1982,26.5108767123288,-0.285104635133964,-0.458115942028976,21,5.74310000000001
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1983,27.1481917808219,0.352210433359187,0.101721014492763,48,14.0935
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1984,26.2350273224044,-0.552096919355939,-0.760942028985498,0,0
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1985,25.8277260273973,-0.968255320065471,-0.581539855072455,5,1.7687
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1986,26.078301369863,-0.717679977599716,-0.87306159420289,0,0
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1987,26.541095890411,-0.254885457051771,-0.00615942028984551,20,5.8881
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1988,25.458825136612,-1.32829910514829,-1.24083333333332,0,0
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1989,26.0215616438356,-0.774419703627114,-0.501757246376802,5,0.785800000000002
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1990,26.8477808219178,0.0517994744550773,0.0343297101449372,45,17.9186
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1991,26.2325753424658,-0.563406004996977,-0.596920289855063,0,0
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1992,26.9805737704918,0.193449528731491,-0.0584963768115842,38,14.4468
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1993,26.3348767123288,-0.461104635133964,-0.864528985507237,12,2.86490000000001
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1994,26.6721369863014,-0.123844361161361,-0.152844202898541,0,0
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1995,26.2957260273973,-0.500255320065471,-0.97822463768115,0,0
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1996,26.513087431694,-0.274036810066323,-0.521811594202889,12,5.8129
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1997,26.8853424657534,0.0893611182906932,0.502427536231894,54,21.6111
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1998,26.8634246575343,0.0674433100715155,0.0352536231884156,40,12.0524
21.875 253.375,SAN_JUANITO_20,19.2041509183733,1999,26.0563561643836,-0.739625183079169,-0.51251811594202,0,0
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2000,26.5969398907104,-0.190184351049929,0.0673731884058066,20,10.7068
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2001,26.2959178082192,-0.500063539243553,-0.461050724637672,5,2.5173
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2002,27.2091232876712,0.413141940208503,0.484873188405807,63,30.2473
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2003,26.7744931506849,-0.0214881967777992,-0.132355072463759,16,8.9809
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2004,27.0576775956284,0.270553353868104,0.798460144927546,51,29.5891
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2005,26.1867671232877,-0.609214224175058,-0.404039855072454,11,5.2308
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2006,26.9895342465753,0.193552899112612,0.407210144927546,77,32.5199
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2007,26.440794520548,-0.355186826914786,-0.338931159420281,0,0
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2008,26.4644262295082,-0.322698012252114,0.0534057971014591,31,7.3618
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2009,27.2309315068493,0.434950159386584,0.249818840579719,73,32.2334
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2010,26.6625479452055,-0.133433402257251,-0.293605072463758,70,23.2277
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2011,26.4596438356164,-0.336337511846291,0.431177536231894,29,11.9827
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2012,26.5260382513661,-0.261085990394191,-0.0430615942028887,23,10.4206
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2013,26.5912876712329,-0.204693676229854,-0.179365942028976,26,8.9755
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2014,27.5468493150685,0.750867967605763,0.669003623188416,145,70.5094000000001
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2015,27.8863835616438,1.09040221418111,0.879384057971024,203,114.3456
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2016,27.6845081967213,0.897383954961,0.772155797101459,134,75.057
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2017,27.2640273972603,0.468046049797543,-0.0162681159420196,80,52.1771
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2018,27.0998904109589,0.303909063496173,0.505688405797111,60,16.5813
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2019,27.0370136986301,0.241032351167406,-0.0819746376811496,67,28.8057
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2020,26.9683333333333,0.181209091573022,-0.220235507246367,79,43.5858
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2021,26.8351506849315,0.0391693374687764,0.233786231884067,58,10.7249
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2022,26.7068219178082,-0.0891594296545116,-0.076920289855063,11,2.69149999999999
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2023,27.1283561643836,0.332374816920832,0.355416666666676,40,12.2625
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2024,26.9932240437159,0.206099801955535,0.364710144927546,53,16.7348
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2025,27.0858356164384,0.289854268975625,0.786123188405807,104,46.3336
21.875 253.375,SAN_JUANITO_20,19.2041509183733,2026,25.829,1.97862340146751,,106,110.5819
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1981,27.7333606557377,-0.471262295081969,-0.646218579234988,0,0
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1982,26.5108767123288,-0.285104635133964,-0.458115942028976,21,5.74310000000001
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1983,27.1481917808219,0.352210433359187,0.101721014492763,48,14.0935
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1984,26.2350273224044,-0.552096919355939,-0.760942028985498,0,0
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1985,25.8277260273973,-0.968255320065471,-0.581539855072455,5,1.7687
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1986,26.078301369863,-0.717679977599716,-0.87306159420289,0,0
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1987,26.541095890411,-0.254885457051771,-0.00615942028984551,20,5.8881
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1988,25.458825136612,-1.32829910514829,-1.24083333333332,0,0
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1989,26.0215616438356,-0.774419703627114,-0.501757246376802,5,0.785800000000002
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1990,26.8477808219178,0.0517994744550773,0.0343297101449372,45,17.9186
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1991,26.2325753424658,-0.563406004996977,-0.596920289855063,0,0
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1992,26.9805737704918,0.193449528731491,-0.0584963768115842,38,14.4468
21.875 253.375,MARIA_MADRE_15,30.6479842540454,1993,26.3348767123288,-0.461104635133964,-0.864528985507237,12,2.86490000000001
