"species","family","genus","resolution","MaxSizeTL","Diet","Position","Method","diet_source","position_source","maxsize_source"
"Azurina atrilobata","Pomacentridae","Azurina","species",15,"Plktiv","BtPlDw","Otolth","curated species","curated species","curated species"
"Thalassoma lucasanum","Labridae","Thalassoma","species",15,"Plktiv","BtPlDw","Otolth","FishBase feeding type","curated species","curated species"
"Stegastes rectifraenum","Pomacentridae","Stegastes","species",15,"Omnivr","BnthDw","Otolth","curated species","curated species","curated species"
"Abudefduf troschelii","Pomacentridae","Abudefduf","species",25,"Omnivr","BnthDw","Otolth","FishBase feeding type","curated species","curated species"
"Cephalopholis colonus","Serranidae","Cephalopholis","species",35,"Plktiv","BtPlDw","Otolth","curated species","curated species","curated species"
"Chromis limbaughi","Pomacentridae","Chromis","species",15,"Plktiv","BtPlDw","Otolth","curated species","curated species","curated species"
"Cirrhitichthys oxycephalus","Cirrhitidae","Cirrhitichthys","species",10,"InvMob","BnthDw","Otolth","curated family","curated family","FishBase"
"Prionurus punctatus","Acanthuridae","Prionurus","species",60,"HerMac","BtPlDw","Otolth","curated genus","curated genus","FishBase"
"Bodianus diplotaenia","Labridae","Bodianus","species",80,"InvMob","BnthAs","Otolth","curated species","curated species","curated species"
"Canthigaster punctatissima","Tetraodontidae","Canthigaster","species",9,"Omnivr","BtPlDw","Otolth","curated family","curated family","FishBase"
"Haemulon maculicauda","Haemulidae","Haemulon","species",30,"InvMob","BtPlDw","Otolth","curated species","curated species","curated species"
"Haemulon sexfasciatum","Haemulidae","Haemulon","species",70,"InvMob","BtPlDw","Otolth","curated species","curated species","curated species"
"Mulloidichthys dentatus","Mullidae","Mulloidichthys","species",30,"InvMob","BnthDw","Otolth","curated species","curated species","curated species"
"Halichoeres dispilus","Labridae","Halichoeres","species",25,"InvMob","BtPlAs","Otolth","curated species","curated species","curated species"
"Holacanthus passer","Pomacanthidae","Holacanthus","species",35,"InvSes","BnthDw","Otolth","curated species","curated species","curated species"
"Lutjanus viridis","Lutjanidae","Lutjanus","species",30,"FisCep","BtPlDw","Otolth","curated species","curated species","curated species"
"Lutjanus argentiventris","Lutjanidae","Lutjanus","species",70,"InvMob","BtPlDw","Otolth","curated species","curated species","curated species"
"Mycteroperca rosacea","Serranidae","Mycteroperca","species",105,"FisCep","BnthDw","Otolth","curated species","curated species","curated species"
"Myripristis leiognathus","Holocentridae","Myripristis","species",20,"Plktiv","BtPlDw","Otolth","FishBase feeding type","curated species","curated species"
"Balistes polylepis","Balistidae","Balistes","species",80,"InvMob","BtPlAs","Otolth","curated species","curated species","curated species"
"Girella simplicidens","Kyphosidae","Girella","species",45,"HerDet","BtPlAs","Otolth","curated species","curated species","curated species"
"Microlepidotus inornatus","Haemulidae","Microlepidotus","species",45,"InvMob","BtPlDw","Otolth","curated species","curated species","curated species"
