"species_raw","species","synonym"
"Ablennes hians","Ablennes hians",FALSE
"Abudefduf concolor","Abudefduf concolor",FALSE
"Abudefduf declivifrons","Abudefduf declivifrons",FALSE
"Abudefduf troschelii","Abudefduf troschelii",FALSE
"Acanthurus nigricans","Acanthurus nigricans",FALSE
"Acanthurus triostegus","Acanthurus triostegus",FALSE
"Acanthurus xanthopterus","Acanthurus xanthopterus",FALSE
"Alphestes immaculatus","Alphestes immaculatus",FALSE
"Aluterus scriptus","Aluterus scriptus",FALSE
"Anarchias galapagensis","Anarchias galapagensis",FALSE
"Anisotremus davidsonii","Anisotremus davidsonii",FALSE
"Anisotremus interruptus","Anisotremus interruptus",FALSE
"Anisotremus taeniatus","Anisotremus taeniatus",FALSE
"Apogon atradorsatus","Apogon atradorsatus",FALSE
"Apogon dovii","Apogon dovii",FALSE
"Apogon pacificus","Apogon pacificus",FALSE
"Apogon retrosella","Apogon retrosella",FALSE
"Apogon spp","Apogon spp",FALSE
"Arothron hispidus","Arothron hispidus",FALSE
"Arothron meleagris","Arothron meleagris",FALSE
"Aulostomus chinensis","Aulostomus chinensis",FALSE
"Azurina atrilobata","Azurina atrilobata",FALSE
"Balistes polylepis","Balistes polylepis",FALSE
"Belonidae","Belonidae",FALSE
"Bodianus diplotaenia","Bodianus diplotaenia",FALSE
"Bodianus eclancheri","Bodianus eclancheri",FALSE
"Bodianus pulcher","Bodianus pulcher",FALSE
"Bothus mancus","Bothus mancus",FALSE
"Brachygenys californiensis","Brachygenys californiensis",FALSE
"Brachygenys jessiae","Brachygenys jessiae",FALSE
"Calamus brachysomus","Calamus brachysomus",FALSE
"Calotomus carolinus","Calotomus carolinus",FALSE
"Cantherhines dumerilii","Cantherhines dumerilii",FALSE
"Canthigaster punctatissima","Canthigaster punctatissima",FALSE
"Caranx caballus","Caranx caballus",FALSE
"Caranx caninus","Caranx caninus",FALSE
"Caranx lugubris","Caranx lugubris",FALSE
"Caranx melampygus","Caranx melampygus",FALSE
"Caranx sexfasciatus","Caranx sexfasciatus",FALSE
"Caranx spp","Caranx spp",FALSE
"Caulolatilus princeps","Caulolatilus princeps",FALSE
"Centropomus robalito","Centropomus robalito",FALSE
"Cephalopholis colonus","Cephalopholis colonus",FALSE
"Cephalopholis panamensis","Cephalopholis panamensis",FALSE
"Chaetodipterus zonatus","Chaetodipterus zonatus",FALSE
"Chaetodon humeralis","Chaetodon humeralis",FALSE
"Chanos chanos","Chanos chanos",FALSE
"Chilomycterus reticulatus","Chilomycterus reticulatus",FALSE
"Chromis alta","Chromis alta",FALSE
"Chromis limbaughi","Chromis limbaughi",FALSE
"Cirrhitichthys oxycephalus","Cirrhitichthys oxycephalus",FALSE
"Cirrhitus rivulatus","Cirrhitus rivulatus",FALSE
"Crocodilichthys gracilis","Crocodilichthys gracilis",FALSE
"Ctenochaetus marginatus","Ctenochaetus marginatus",FALSE
"Decapterus macarellus","Decapterus macarellus",FALSE
"Decapterus muroadsi","Decapterus muroadsi",FALSE
"Dermatolepis dermatolepis","Dermatolepis dermatolepis",FALSE
"Diodon holocanthus","Diodon holocanthus",FALSE
"Diodon hystrix","Diodon hystrix",FALSE
"Echidna nebulosa","Echidna nebulosa",FALSE
"Echidna nocturna","Echidna nocturna",FALSE
"Elacatinus puncticulatus","Elacatinus puncticulatus",FALSE
"Elagatis bipinnulata","Elagatis bipinnulata",FALSE
"Elops affinis","Elops affinis",FALSE
"Epinephelus labriformis","Epinephelus labriformis",FALSE
"Euthynnus lineatus","Euthynnus lineatus",FALSE
"Exerpes asper","Exerpes asper",FALSE
"Ferdauia orthogrammus","Ferdauia orthogrammus",FALSE
"Fistularia commersonii","Fistularia commersonii",FALSE
"Forcipiger flavissimus","Forcipiger flavissimus",FALSE
"Gerres cinereus","Gerres cinereus",FALSE
"Girella simplicidens","Girella simplicidens",FALSE
"Gnathanodon speciosus","Gnathanodon speciosus",FALSE
"Gymnomuraena zebra","Gymnomuraena zebra",FALSE
"Gymnothorax castaneus","Gymnothorax castaneus",FALSE
"Gymnothorax dovii","Gymnothorax dovii",FALSE
"Gymnothorax mordax","Gymnothorax mordax",FALSE
"Haemulon flaviguttatum","Haemulon flaviguttatum",FALSE
"Haemulon maculicauda","Haemulon maculicauda",FALSE
"Haemulon scudderii","Haemulon scudderii",FALSE
"Haemulon sexfasciatum","Haemulon sexfasciatum",FALSE
"Haemulon steindachneri","Haemulon steindachneri",FALSE
"Halichoeres chierchiae","Halichoeres chierchiae",FALSE
"Halichoeres dispilus","Halichoeres dispilus",FALSE
"Halichoeres melanotis","Halichoeres melanotis",FALSE
"Halichoeres nicholsi","Halichoeres nicholsi",FALSE
"Halichoeres notospilus","Halichoeres notospilus",FALSE
"Halichoeres semicinctus","Halichoeres semicinctus",FALSE
"Halichoeres spp","Halichoeres spp",FALSE
"Hemiramphidae","Hemiramphidae",FALSE
"Heteroconger spp","Heteroconger spp",FALSE
"Heteropriacanthus cruentatus","Heteropriacanthus cruentatus",FALSE
"Hippocampus ingens","Hippocampus ingens",FALSE
"Holacanthus clarionensis","Holacanthus clarionensis",FALSE
"Holacanthus passer","Holacanthus passer",FALSE
"Hoplopagrus guentherii","Hoplopagrus guentherii",FALSE
"Hyporthodus acanthistius","Hyporthodus acanthistius",FALSE
"Johnrandallia nigrirostris","Johnrandallia nigrirostris",FALSE
"Kyphosus azureus","Kyphosus azureus",FALSE
"Kyphosus elegans","Kyphosus elegans",FALSE
"Kyphosus ocyurus","Kyphosus ocyurus",FALSE
"Kyphosus vaigiensis","Kyphosus vaigiensis",FALSE
"Labrisomus xanti","Labrisomus xanti",FALSE
"Liopropoma fasciatum","Liopropoma fasciatum",FALSE
"Lutjanus aratus","Lutjanus aratus",FALSE
"Lutjanus argentiventris","Lutjanus argentiventris",FALSE
"Lutjanus colorado","Lutjanus colorado",FALSE
"Lutjanus guttatus","Lutjanus guttatus",FALSE
"Lutjanus inermis","Lutjanus inermis",FALSE
"Lutjanus novemfasciatus","Lutjanus novemfasciatus",FALSE
"Lutjanus viridis","Lutjanus viridis",FALSE
"Malacoctenus tetranemus","Malacoctenus tetranemus",FALSE
"Melichthys niger","Melichthys niger",FALSE
"Microlepidotus brevipinnis","Microlepidotus brevipinnis",FALSE
"Microlepidotus inornatus","Microlepidotus inornatus",FALSE
"Microspathodon bairdii","Microspathodon bairdii",FALSE
"Microspathodon dorsalis","Microspathodon dorsalis",FALSE
"Mugil cephalus","Mugil cephalus",FALSE
"Mugil curema","Mugil curema",FALSE
"Mugilidae","Mugilidae",FALSE
"Mulloidichthys dentatus","Mulloidichthys dentatus",FALSE
"Muraena argus","Muraena argus",FALSE
"Muraena lentiginosa","Muraena lentiginosa",FALSE
"Mycteroperca jordani","Mycteroperca jordani",FALSE
"Mycteroperca prionura","Mycteroperca prionura",FALSE
"Mycteroperca rosacea","Mycteroperca rosacea",FALSE
"Mycteroperca xenarcha","Mycteroperca xenarcha",FALSE
"Myrichthys tigrinus","Myrichthys tigrinus",FALSE
"Myripristis berndti","Myripristis berndti",FALSE
"Myripristis leiognathus","Myripristis leiognathus",FALSE
"Nicholsina denticulata","Nicholsina denticulata",FALSE
"Novaculichthys taeniourus","Novaculichthys taeniourus",FALSE
"Odontoscion xanthops","Odontoscion xanthops",FALSE
"Ophioblennius steindachneri","Ophioblennius steindachneri",FALSE
"Opistognathus punctatus","Opistognathus punctatus",FALSE
"Opistognathus rosenblatti","Opistognathus rosenblatti",FALSE
"Ostracion meleagris","Ostracion meleagris",FALSE
"Oxycirrhites typus","Oxycirrhites typus",FALSE
"Paralabrax auroguttatus","Paralabrax auroguttatus",FALSE
"Paralabrax maculatofasciatus","Paralabrax maculatofasciatus",FALSE
"Paralabrax spp","Paralabrax spp",FALSE
"Paranthias colonus","Cephalopholis colonus",TRUE
"Pareques fuscovittatus","Pareques fuscovittatus",FALSE
"Plagiotremus azaleus","Plagiotremus azaleus",FALSE
"Pomacanthus zonipectus","Pomacanthus zonipectus",FALSE
"Prionurus laticlavius","Prionurus laticlavius",FALSE
"Prionurus punctatus","Prionurus punctatus",FALSE
"Prognathodes falcifer","Prognathodes falcifer",FALSE
"Pseudobalistes naufragium","Pseudobalistes naufragium",FALSE
"Rypticus bicolor","Rypticus bicolor",FALSE
"Rypticus nigripinnis","Rypticus nigripinnis",FALSE
"Sarda orientalis","Sarda orientalis",FALSE
"Sargocentron suborbitale","Sargocentron suborbitale",FALSE
"Scarus compressus","Scarus compressus",FALSE
"Scarus ghobban","Scarus ghobban",FALSE
"Scarus perrico","Scarus perrico",FALSE
"Scarus rubroviolaceus","Scarus rubroviolaceus",FALSE
"Scomber japonicus","Scomber japonicus",FALSE
"Scomberomorus sierra","Scomberomorus sierra",FALSE
"Scombridae","Scombridae",FALSE
"Scorpaena guttata","Scorpaena guttata",FALSE
"Scorpaena histrio","Scorpaena histrio",FALSE
"Scorpaena mystes","Scorpaena mystes",FALSE
"Scorpaenodes xyris","Scorpaenodes xyris",FALSE
"Selar crumenophthalmus","Selar crumenophthalmus",FALSE
"Selene brevoortii","Selene brevoortii",FALSE
"Seriola lalandi","Seriola lalandi",FALSE
"Seriola rivoliana","Seriola rivoliana",FALSE
"Serranus psittacinus","Serranus psittacinus",FALSE
"Serranus socorroensis","Serranus socorroensis",FALSE
"Sphoeroides annulatus","Sphoeroides annulatus",FALSE
"Sphoeroides lobatus","Sphoeroides lobatus",FALSE
"Sphyraena ensis","Sphyraena ensis",FALSE
"Sphyraena idiastes","Sphyraena idiastes",FALSE
"Sphyraena lucasana","Sphyraena lucasana",FALSE
"Stegastes acapulcoensis","Stegastes acapulcoensis",FALSE
"Stegastes flavilatus","Stegastes flavilatus",FALSE
"Stegastes leucorus","Stegastes leucorus",FALSE
"Stegastes rectifraenum","Stegastes rectifraenum",FALSE
"Stethojulis bandanensis","Stethojulis bandanensis",FALSE
"Sufflamen verres","Sufflamen verres",FALSE
"Synodus lacertinus","Synodus lacertinus",FALSE
"Thalassoma grammaticum","Thalassoma grammaticum",FALSE
"Thalassoma lucasanum","Thalassoma lucasanum",FALSE
"Thalassoma virens","Thalassoma virens",FALSE
"Trachinotus rhodopus","Trachinotus rhodopus",FALSE
"Zanclus cornutus","Zanclus cornutus",FALSE
